date,roll_yield,near_by,deferred
2017-01-03,0.012484412523756473,FG705,FG709
2017-01-04,0.032459742387447726,FG705,FG709
2017-01-05,0.04492596436552834,FG705,FG709
2017-01-06,0.04511363209362168,FG705,FG709
2017-01-09,0.0592124485149643,FG705,FG709
2017-01-10,0.05452540451901998,FG705,FG709
2017-01-11,0.06220318534959551,FG705,FG709
2017-01-12,0.05046174239941717,FG705,FG709
2017-01-13,0.05461171779744814,FG705,FG709
2017-01-16,0.029828161596151724,FG705,FG709
2017-01-17,0.03495185165992575,FG705,FG709
2017-01-18,0.032558459102422325,FG705,FG709
2017-01-19,0.02314826299758824,FG705,FG709
2017-01-20,0.03945898278779623,FG705,FG709
2017-01-23,0.02583186214670683,FG705,FG709
2017-01-24,0.02533604310210029,FG705,FG709
2017-01-25,0.02741831727927794,FG705,FG709
2017-01-26,0.02504758383276388,FG705,FG709
2017-02-03,0.02338281518045639,FG705,FG709
2017-02-06,0.01869164925190826,FG705,FG709
2017-02-07,0.023310140585795364,FG705,FG709
2017-02-08,0.027481108195992837,FG705,FG709
2017-02-09,0.016147674510463214,FG705,FG709
2017-02-10,0.03729481302643567,FG705,FG709
2017-02-13,-0.045145961247514,FG705,FG709
2017-02-14,-0.04724507090441733,FG705,FG709
2017-02-15,-0.058761399825914336,FG705,FG709
2017-02-16,-0.04796613808731427,FG705,FG709
2017-02-17,-0.041170743659392314,FG705,FG709
2017-02-20,-0.057962447025597344,FG705,FG709
2017-02-21,-0.08664862244635779,FG705,FG709
2017-02-22,-0.08916930435661884,FG705,FG709
2017-02-23,-0.09475631615940369,FG705,FG709
2017-02-24,-0.0792997712044663,FG705,FG709
2017-02-27,-0.09184390745882084,FG705,FG709
2017-02-28,-0.10056807611593094,FG705,FG709
2017-03-01,-0.10245984697565153,FG705,FG709
2017-03-02,-0.10012052644952002,FG705,FG709
2017-03-03,-0.09231497600026106,FG705,FG709
2017-03-06,-0.058516483872769934,FG705,FG709
2017-03-07,-0.04731603902790538,FG705,FG709
2017-03-08,-0.07326082840936261,FG705,FG709
2017-03-09,-0.07723676800030689,FG705,FG709
2017-03-10,-0.05348601963490661,FG705,FG709
2017-03-13,-0.023961788730633163,FG705,FG709
2017-03-14,-0.031287888890957294,FG705,FG709
2017-03-15,-0.040332754587787345,FG705,FG709
2017-03-16,-0.031063598926742396,FG705,FG709
2017-03-17,-0.03604368547061047,FG705,FG709
2017-03-20,-0.029079387616979254,FG705,FG709
2017-03-21,-0.024174183989287324,FG705,FG709
2017-03-22,-0.02495854661867539,FG705,FG709
2017-03-23,-0.019900570486901633,FG705,FG709
2017-03-24,-0.009876552130431294,FG705,FG709
2017-03-27,0.004995837957183627,FG705,FG709
2017-03-28,0.04081695616733579,FG705,FG709
2017-03-29,0.05217522813560767,FG705,FG709
2017-03-30,0.07577356244617603,FG705,FG709
2017-03-31,0.060280235182463074,FG705,FG709
2017-04-05,0.023184041194236345,FG705,FG709
2017-04-06,0.02311259505896303,FG705,FG709
2017-04-07,0.06762820383731355,FG705,FG709
2017-04-10,0.025611331335628578,FG705,FG709
2017-04-11,0.05787960880403655,FG705,FG709
2017-04-12,0.07042006855692615,FG705,FG709
2017-04-13,0.08134469639089875,FG705,FG709
2017-04-14,0.10569547943562768,FG705,FG709
2017-04-17,0.13978432081798908,FG705,FG709
2017-04-18,0.15226787989985918,FG705,FG709
2017-04-19,0.12063115065040447,FG705,FG709
2017-04-20,0.07671863247633989,FG705,FG709
2017-04-21,0.01861914432761185,FG705,FG709
2017-04-24,0.16258395116400456,FG709,FG801
2017-04-25,0.1424318117865383,FG709,FG801
2017-04-26,0.13453014576550373,FG709,FG801
2017-04-27,0.1397805135591964,FG709,FG801
2017-04-28,0.13461526253152653,FG709,FG801
2017-05-02,0.12265859374991073,FG709,FG801
2017-05-03,0.13240919733550988,FG709,FG801
2017-05-04,0.11035163180224478,FG709,FG801
2017-05-05,0.12460262708599174,FG709,FG801
2017-05-08,0.11892556335722848,FG709,FG801
2017-05-09,0.12377993334845964,FG709,FG801
2017-05-10,0.13491032495713812,FG709,FG801
2017-05-11,0.17645036703817438,FG709,FG801
2017-05-12,0.17343045782665975,FG709,FG801
2017-05-15,0.16026129766078256,FG709,FG801
2017-05-16,0.14811925385189778,FG709,FG801
2017-05-17,0.14317314481977006,FG709,FG801
2017-05-18,0.15647348987819742,FG709,FG801
2017-05-19,0.16083483627667333,FG709,FG801
2017-05-22,0.16594091395215693,FG709,FG801
2017-05-23,0.18104003026535678,FG709,FG801
2017-05-24,0.17726674911001933,FG709,FG801
2017-05-25,0.17794973146925852,FG709,FG801
2017-05-26,0.18340316548010452,FG709,FG801
2017-05-31,0.22922840742600334,FG709,FG801
2017-06-01,0.23088312340838496,FG709,FG801
2017-06-02,0.24204738608907653,FG709,FG801
2017-06-05,0.2456675852929972,FG709,FG801
2017-06-06,0.23189556416720014,FG709,FG801
2017-06-07,0.22801854386806908,FG709,FG801
2017-06-08,0.2401281230206091,FG709,FG801
2017-06-09,0.23541484632448562,FG709,FG801
2017-06-12,0.22567026371276255,FG709,FG801
2017-06-13,0.22692867561541663,FG709,FG801
2017-06-14,0.1841354562085037,FG709,FG801
2017-06-15,0.16892655930346145,FG709,FG801
2017-06-16,0.11909960954005375,FG709,FG801
2017-06-19,0.07190139291725958,FG709,FG801
2017-06-20,0.06736636141151141,FG709,FG801
2017-06-21,0.08366150205748019,FG709,FG801
2017-06-22,0.07686569399182883,FG709,FG801
2017-06-23,0.07425528781404989,FG709,FG801
2017-06-26,0.08357086350889867,FG709,FG801
2017-06-27,0.09697336202944315,FG709,FG801
2017-06-28,0.096668481335441,FG709,FG801
2017-06-29,0.13335528771250144,FG709,FG801
2017-06-30,0.13455169849605536,FG709,FG801
2017-07-03,0.12996804596189557,FG709,FG801
2017-07-04,0.12033395201584282,FG709,FG801
2017-07-05,0.11809917056266354,FG709,FG801
2017-07-06,0.11406517451606109,FG709,FG801
2017-07-07,0.07561556709120287,FG709,FG801
2017-07-10,0.08299594734907892,FG709,FG801
2017-07-11,0.10208085416227886,FG709,FG801
2017-07-12,0.09667378259263418,FG709,FG801
2017-07-13,0.09368791090134565,FG709,FG801
2017-07-14,0.08754830027117948,FG709,FG801
2017-07-17,0.10837890692687291,FG709,FG801
2017-07-18,0.11055045968184228,FG709,FG801
2017-07-19,0.1656471678073404,FG709,FG801
2017-07-20,0.14006134191795971,FG709,FG801
2017-07-21,0.1398603923021362,FG709,FG801
2017-07-24,0.11493997061203445,FG709,FG801
2017-07-25,0.08827332206564088,FG709,FG801
2017-07-26,0.09171019825403401,FG709,FG801
2017-07-27,0.0936555184954208,FG709,FG801
2017-07-28,0.09171019825403401,FG709,FG801
2017-07-31,0.07476357014506378,FG709,FG801
2017-08-01,0.07720225884416496,FG709,FG801
2017-08-02,0.06645502169916936,FG709,FG801
2017-08-03,0.06000200012000863,FG709,FG801
2017-08-04,0.02569608857676914,FG709,FG801
2017-08-07,0.021723483769678757,FG709,FG801
2017-08-08,0.026049367720382643,FG709,FG801
2017-08-09,-0.01899408385068247,FG709,FG801
2017-08-10,-0.031768740219722445,FG709,FG801
2017-08-11,-0.014962624533117154,FG709,FG801
2017-08-14,-0.01698518337600066,FG709,FG801
2017-08-15,-0.0021405637725850674,FG709,FG801
2017-08-16,0.02329697553111637,FG709,FG801
2017-08-17,0.002081165536116925,FG709,FG801
2017-08-18,0.002078282036701724,FG709,FG801
2017-08-21,-0.0041293881261697096,FG709,FG801
2017-08-22,0.04986264370812122,FG801,FG805
2017-08-23,0.04198808918197536,FG801,FG805
2017-08-24,0.045738931718621256,FG801,FG805
2017-08-25,0.041812523531344875,FG801,FG805
2017-08-28,0.03760494920908826,FG801,FG805
2017-08-29,0.046349236527582216,FG801,FG805
2017-08-30,0.0523573498536785,FG801,FG805
2017-08-31,0.05113760181896583,FG801,FG805
2017-09-01,0.04482473999459708,FG801,FG805
2017-09-04,0.056441606901051336,FG801,FG805
2017-09-05,0.05833817248159119,FG801,FG805
2017-09-06,0.05859137410160674,FG801,FG805
2017-09-07,0.054806054726853654,FG801,FG805
2017-09-08,0.06399654223906559,FG801,FG805
2017-09-11,0.05710274886754144,FG801,FG805
2017-09-12,0.06545714218391918,FG801,FG805
2017-09-13,0.05718648230536807,FG801,FG805
2017-09-14,0.08897578017900974,FG801,FG805
2017-09-15,0.07369183319367062,FG801,FG805
2017-09-18,0.08114694571487893,FG801,FG805
2017-09-19,0.08874367205272259,FG801,FG805
2017-09-20,0.08591393456258735,FG801,FG805
2017-09-21,0.0956800913278612,FG801,FG805
2017-09-22,0.09350813988885875,FG801,FG805
2017-09-25,0.1109141787599095,FG801,FG805
2017-09-26,0.11052669826009448,FG801,FG805
2017-09-27,0.11001996854816566,FG801,FG805
2017-09-28,0.11330826556267531,FG801,FG805
2017-09-29,0.10470236754868592,FG801,FG805
2017-10-09,0.10297422762322382,FG801,FG805
2017-10-10,0.11678121154278123,FG801,FG805
2017-10-11,0.12154700668116386,FG801,FG805
2017-10-12,0.12172969689612942,FG801,FG805
2017-10-13,0.11120620885602342,FG801,FG805
2017-10-16,0.11714195334750968,FG801,FG805
2017-10-17,0.11104154324244332,FG801,FG805
