date,var,仓库编号,仓库简称,仓单数量,当日增减,升贴水,产地
2017-01-03,FG,0901,沙河安全,0,0,0,
2017-01-03,FG,0902,河北大光明,0,0,0,
2017-01-03,FG,0903,耀华集团,0,0,0,
2017-01-03,FG,0904,山东金晶,0,0,130,
2017-01-03,FG,0905,山东巨润,0,0,0,
2017-01-03,FG,0909,荆州亿钧,0,0,0,
2017-01-03,FG,0910,武汉长利,0,0,0,
2017-01-03,FG,0914,河北德金,1525,0,0,
2017-01-03,FG,小计,,1525,0,,
2017-01-03,FG,0915,滕州金晶,0,0,0,
2017-01-03,FG,0916,河北迎新,151,0,0,
2017-01-03,FG,小计,,151,0,,
2017-01-03,FG,0917,河北正大,0,0,0,
2017-01-03,FG,0918,中玻蓝星,0,0,0,
2017-01-03,FG,总计,,1676,0,,
2017-01-04,FG,0901,沙河安全,0,0,0,
2017-01-04,FG,0902,河北大光明,0,0,0,
2017-01-04,FG,0903,耀华集团,0,0,0,
2017-01-04,FG,0904,山东金晶,0,0,130,
2017-01-04,FG,0905,山东巨润,0,0,0,
2017-01-04,FG,0909,荆州亿钧,0,0,0,
2017-01-04,FG,0910,武汉长利,0,0,0,
2017-01-04,FG,0914,河北德金,537,-988,0,
2017-01-04,FG,小计,,537,-988,,
2017-01-04,FG,0915,滕州金晶,0,0,0,
2017-01-04,FG,0916,河北迎新,151,0,0,
2017-01-04,FG,小计,,151,0,,
2017-01-04,FG,0917,河北正大,0,0,0,
2017-01-04,FG,0918,中玻蓝星,0,0,0,
2017-01-04,FG,总计,,688,-988,,
2017-01-05,FG,0901,沙河安全,0,0,0,
2017-01-05,FG,0902,河北大光明,0,0,0,
2017-01-05,FG,0903,耀华集团,0,0,0,
2017-01-05,FG,0904,山东金晶,0,0,130,
2017-01-05,FG,0905,山东巨润,0,0,0,
2017-01-05,FG,0909,荆州亿钧,0,0,0,
2017-01-05,FG,0910,武汉长利,0,0,0,
2017-01-05,FG,0914,河北德金,537,0,0,
2017-01-05,FG,小计,,537,0,,
2017-01-05,FG,0915,滕州金晶,0,0,0,
2017-01-05,FG,0916,河北迎新,151,0,0,
2017-01-05,FG,小计,,151,0,,
2017-01-05,FG,0917,河北正大,0,0,0,
2017-01-05,FG,0918,中玻蓝星,0,0,0,
2017-01-05,FG,总计,,688,0,,
2017-01-06,FG,0901,沙河安全,0,0,0,
2017-01-06,FG,0902,河北大光明,0,0,0,
2017-01-06,FG,0903,耀华集团,0,0,0,
2017-01-06,FG,0904,山东金晶,0,0,130,
2017-01-06,FG,0905,山东巨润,0,0,0,
2017-01-06,FG,0909,荆州亿钧,0,0,0,
2017-01-06,FG,0910,武汉长利,0,0,0,
2017-01-06,FG,0914,河北德金,537,0,0,
2017-01-06,FG,小计,,537,0,,
2017-01-06,FG,0915,滕州金晶,0,0,0,
2017-01-06,FG,0916,河北迎新,151,0,0,
2017-01-06,FG,小计,,151,0,,
2017-01-06,FG,0917,河北正大,0,0,0,
2017-01-06,FG,0918,中玻蓝星,0,0,0,
2017-01-06,FG,总计,,688,0,,
2017-01-09,FG,0901,沙河安全,0,0,0,
2017-01-09,FG,0902,河北大光明,0,0,0,
2017-01-09,FG,0903,耀华集团,0,0,0,
2017-01-09,FG,0904,山东金晶,0,0,130,
2017-01-09,FG,0905,山东巨润,0,0,0,
2017-01-09,FG,0909,荆州亿钧,0,0,0,
2017-01-09,FG,0910,武汉长利,0,0,0,
2017-01-09,FG,0914,河北德金,537,0,0,
2017-01-09,FG,小计,,537,0,,
2017-01-09,FG,0915,滕州金晶,0,0,0,
2017-01-09,FG,0916,河北迎新,151,0,0,
2017-01-09,FG,小计,,151,0,,
2017-01-09,FG,0917,河北正大,0,0,0,
2017-01-09,FG,0918,中玻蓝星,0,0,0,
2017-01-09,FG,总计,,688,0,,
2017-01-10,FG,0901,沙河安全,0,0,0,
2017-01-10,FG,0902,河北大光明,0,0,0,
2017-01-10,FG,0903,耀华集团,0,0,0,
2017-01-10,FG,0904,山东金晶,0,0,130,
2017-01-10,FG,0905,山东巨润,0,0,0,
2017-01-10,FG,0909,荆州亿钧,0,0,0,
2017-01-10,FG,0910,武汉长利,0,0,0,
2017-01-10,FG,0914,河北德金,537,0,0,
2017-01-10,FG,小计,,537,0,,
2017-01-10,FG,0915,滕州金晶,0,0,0,
2017-01-10,FG,0916,河北迎新,151,0,0,
