date,var,var_name,symbol,spot_price,near_contract,near_contract_price,near_basis,near_basis_rate,dominant_contract,dominant_contract_price,dom_basis,dom_basis_rate,near_month,dominant_month
2017-01-03,MA,甲醇,MA,3000.0,MA701,2875.0,-125.0,-0.04166666666666663,MA705,2667.0,-333.0,-0.11099999999999999,1701,1705
2017-01-04,MA,甲醇,MA,2985.0,MA701,2890.0,-95.0,-0.031825795644891075,MA705,2670.0,-315.0,-0.10552763819095479,1701,1705
2017-01-05,MA,甲醇,MA,2940.0,MA701,2890.0,-50.0,-0.017006802721088454,MA705,2661.0,-279.0,-0.0948979591836735,1701,1705
2017-01-06,MA,甲醇,MA,2915.0,MA701,2880.0,-35.0,-0.012006861063464824,MA705,2646.0,-269.0,-0.09228130360205833,1701,1705
2017-01-09,MA,甲醇,MA,2860.0,MA701,2880.0,20.0,0.006993006993007089,MA705,2716.0,-144.0,-0.05034965034965033,1701,1705
2017-01-10,MA,甲醇,MA,2820.0,MA701,2860.0,40.0,0.014184397163120588,MA705,2713.0,-107.0,-0.03794326241134749,1701,1705
2017-01-11,MA,甲醇,MA,2760.0,MA701,2815.0,55.0,0.019927536231884035,MA705,2690.0,-70.0,-0.025362318840579712,1701,1705
2017-01-12,MA,甲醇,MA,2760.0,MA701,2815.0,55.0,0.019927536231884035,MA705,2741.0,-19.0,-0.0068840579710145455,1701,1705
2017-01-13,MA,甲醇,MA,2760.0,MA701,2811.0,51.0,0.018478260869565277,MA705,2759.0,-1.0,-0.00036231884057968955,1701,1705
2017-01-16,MA,甲醇,MA,2845.0,MA701,2890.0,45.0,0.01581722319859402,MA705,2870.0,25.0,0.008787346221441172,1701,1705
2017-01-17,MA,甲醇,MA,2880.0,MA702,2753.0,-127.0,-0.04409722222222223,MA705,2831.0,-49.0,-0.017013888888888884,1702,1705
2017-01-18,MA,甲醇,MA,2880.0,MA702,2745.0,-135.0,-0.046875,MA705,2838.0,-42.0,-0.014583333333333282,1702,1705
2017-01-19,MA,甲醇,MA,2880.0,MA702,2882.0,2.0,0.000694444444444553,MA705,2793.0,-87.0,-0.03020833333333328,1702,1705
2017-01-23,MA,甲醇,MA,2880.0,MA702,2750.0,-130.0,-0.04513888888888884,MA705,2848.0,-32.0,-0.011111111111111072,1702,1705
2017-01-24,MA,甲醇,MA,2855.0,MA702,2621.0,-234.0,-0.08196147110332752,MA705,2855.0,0.0,0.0,1702,1705
2017-01-25,MA,甲醇,MA,2855.0,MA702,2738.0,-117.0,-0.040980735551663705,MA705,2935.0,80.0,0.028021015761821255,1702,1705
2017-02-03,MA,甲醇,MA,2860.0,MA702,2581.0,-279.0,-0.09755244755244752,MA705,2915.0,55.0,0.019230769230769162,1702,1705
2017-02-06,MA,甲醇,MA,2860.0,MA702,2583.0,-277.0,-0.09685314685314683,MA705,2929.0,69.0,0.02412587412587408,1702,1705
2017-02-07,MA,甲醇,MA,2860.0,MA702,2609.0,-251.0,-0.0877622377622378,MA705,2943.0,83.0,0.029020979020979,1702,1705
2017-02-08,MA,甲醇,MA,2860.0,MA702,2596.0,-264.0,-0.09230769230769231,MA705,2940.0,80.0,0.027972027972027913,1702,1705
2017-02-09,MA,甲醇,MA,2860.0,MA702,2604.0,-256.0,-0.08951048951048957,MA705,2920.0,60.0,0.020979020979021046,1702,1705
2017-02-10,MA,甲醇,MA,2855.0,MA702,2584.0,-271.0,-0.09492119089316986,MA705,2944.0,89.0,0.031173380035026232,1702,1705
2017-02-13,MA,甲醇,MA,2890.0,MA702,2660.0,-230.0,-0.07958477508650519,MA705,3045.0,155.0,0.05363321799307963,1702,1705
