date,var,仓库编号,仓库简称,仓单数量(完税),仓单数量(保税),当日增减,有效预报,升贴水
2017-01-03,MA,0801,太仓阳鸿,0,0,0,,0
2017-01-03,MA,小计,,0,0,0,1075,
2017-01-03,MA,0803,南通千红,0,0,0,,0
2017-01-03,MA,0806,江阴华西,0,0,0,,0
2017-01-03,MA,0807,江苏海企,0,0,0,,0
2017-01-03,MA,0809,中原大化,0,0,0,,-200
2017-01-03,MA,0810,兖矿煤化,0,0,0,,-200
2017-01-03,MA,0811,新能凤凰,0,0,0,,-200
2017-01-03,MA,0812,江阴澄利,0,0,0,,0
2017-01-03,MA,0813,镇海宁远,0,0,0,,0
2017-01-03,MA,0814,泉州振戎,0,0,0,,0
2017-01-03,MA,0815,东莞百安,0,0,0,,0
2017-01-03,MA,0816,东莞东洲,0,0,0,,0
2017-01-03,MA,0817,广州碧辟,0,0,0,,0
2017-01-03,MA,0818,定州天鹭,0,0,0,,-260
2017-01-03,MA,0819,内蒙博源,0,0,0,,-600
2017-01-03,MA,0820,新能能源,0,0,0,,-600
2017-01-03,MA,0821,南通阳鸿,0,0,0,,0
2017-01-03,MA,0822,常州新润,0,0,0,,0
2017-01-03,MA,0823,常州建滔,0,0,0,,0
2017-01-03,MA,0825,长江国际,0,0,0,,0
2017-01-03,MA,小计,,0,0,0,200,
2017-01-03,MA,0826,广州中石油,0,0,0,,0
2017-01-03,MA,小计,,0,0,0,1000,
2017-01-03,MA,总计,,0,0,0,2275,
2017-01-03,MA,,,0,,,,
2017-01-04,MA,0801,太仓阳鸿,0,0,0,,0
2017-01-04,MA,小计,,0,0,0,1075,
2017-01-04,MA,0803,南通千红,0,0,0,,0
2017-01-04,MA,0806,江阴华西,0,0,0,,0
2017-01-04,MA,0807,江苏海企,0,0,0,,0
2017-01-04,MA,0809,中原大化,0,0,0,,-200
2017-01-04,MA,0810,兖矿煤化,0,0,0,,-200
2017-01-04,MA,0811,新能凤凰,0,0,0,,-200
2017-01-04,MA,0812,江阴澄利,0,0,0,,0
2017-01-04,MA,0813,镇海宁远,0,0,0,,0
2017-01-04,MA,0814,泉州振戎,0,0,0,,0
2017-01-04,MA,0815,东莞百安,0,0,0,,0
2017-01-04,MA,小计,,0,0,0,510,
2017-01-04,MA,0816,东莞东洲,0,0,0,,0
2017-01-04,MA,0817,广州碧辟,0,0,0,,0
2017-01-04,MA,0818,定州天鹭,0,0,0,,-260
2017-01-04,MA,0819,内蒙博源,0,0,0,,-600
2017-01-04,MA,0820,新能能源,0,0,0,,-600
2017-01-04,MA,0821,南通阳鸿,0,0,0,,0
2017-01-04,MA,0822,常州新润,0,0,0,,0
2017-01-04,MA,0823,常州建滔,0,0,0,,0
2017-01-04,MA,0825,长江国际,0,0,0,,0
2017-01-04,MA,小计,,0,0,0,200,
2017-01-04,MA,0826,广州中石油,0,0,0,,0
2017-01-04,MA,小计,,0,0,0,1700,
2017-01-04,MA,总计,,0,0,0,3485,
2017-01-04,MA,,,0,,,,
2017-01-05,MA,0801,太仓阳鸿,0,0,0,,0
2017-01-05,MA,小计,,0,0,0,1075,
2017-01-05,MA,0803,南通千红,0,0,0,,0
2017-01-05,MA,0806,江阴华西,0,0,0,,0
2017-01-05,MA,0807,江苏海企,0,0,0,,0
2017-01-05,MA,0809,中原大化,0,0,0,,-200
2017-01-05,MA,0810,兖矿煤化,0,0,0,,-200
2017-01-05,MA,0811,新能凤凰,0,0,0,,-200
2017-01-05,MA,0812,江阴澄利,0,0,0,,0
2017-01-05,MA,0813,镇海宁远,0,0,0,,0
2017-01-05,MA,0814,泉州振戎,0,0,0,,0
2017-01-05,MA,0815,东莞百安,0,0,0,,0
2017-01-05,MA,小计,,0,0,0,510,
2017-01-05,MA,0816,东莞东洲,0,0,0,,0
2017-01-05,MA,0817,广州碧辟,0,0,0,,0
2017-01-05,MA,0818,定州天鹭,0,0,0,,-260
2017-01-05,MA,0819,内蒙博源,0,0,0,,-600
2017-01-05,MA,0820,新能能源,0,0,0,,-600
2017-01-05,MA,0821,南通阳鸿,0,0,0,,0
2017-01-05,MA,0822,常州新润,0,0,0,,0
2017-01-05,MA,0823,常州建滔,0,0,0,,0
2017-01-05,MA,0825,长江国际,0,0,0,,0
2017-01-05,MA,小计,,0,0,0,200,
2017-01-05,MA,0826,广州中石油,0,0,0,,0
2017-01-05,MA,小计,,0,0,0,1700,
2017-01-05,MA,总计,,0,0,0,3485,
2017-01-05,MA,,,0,,,,
2017-01-06,MA,0801,太仓阳鸿,0,0,0,,0
2017-01-06,MA,小计,,0,0,0,1075,
2017-01-06,MA,0803,南通千红,0,0,0,,0
2017-01-06,MA,0806,江阴华西,0,0,0,,0
2017-01-06,MA,0807,江苏海企,0,0,0,,0
2017-01-06,MA,0809,中原大化,0,0,0,,-200
2017-01-06,MA,0810,兖矿煤化,0,0,0,,-200
2017-01-06,MA,0811,新能凤凰,0,0,0,,-200
2017-01-06,MA,0812,江阴澄利,0,0,0,,0
2017-01-06,MA,0813,镇海宁远,0,0,0,,0
2017-01-06,MA,0814,泉州振戎,0,0,0,,0
2017-01-06,MA,0815,东莞百安,0,0,0,,0
2017-01-06,MA,小计,,0,0,0,565,
2017-01-06,MA,0816,东莞东洲,0,0,0,,0
2017-01-06,MA,0817,广州碧辟,0,0,0,,0
