date,dom_basis,dom_basis_1st,dom_basis_2nd
2017-01-06,-245.0,,
2017-01-13,-1.0,244.0,
2017-01-20,25.0,26.0,-218.0
2017-01-27,80.0,55.0,29.0
2017-02-03,55.0,-25.0,-80.0
2017-02-10,89.0,34.0,59.0
2017-02-17,216.0,127.0,93.0
2017-02-24,91.0,-125.0,-252.0
2017-03-03,71.0,-20.0,105.0
2017-03-10,44.0,-27.0,-7.0
2017-03-17,-10.0,-54.0,-27.0
2017-03-24,93.0,103.0,157.0
2017-03-31,30.0,-63.0,-166.0
2017-04-07,39.0,9.0,72.0
2017-04-14,-77.0,-116.0,-125.0
2017-04-21,-123.0,-46.0,70.0
2017-04-28,-24.0,99.0,145.0
2017-05-05,104.0,128.0,29.0
2017-05-12,-26.0,-130.0,-258.0
2017-05-19,147.0,173.0,303.0
2017-05-26,99.0,-48.0,-221.0
2017-06-02,-67.0,-166.0,-118.0
2017-06-09,27.0,94.0,260.0
2017-06-16,16.0,-11.0,-105.0
2017-06-23,54.0,38.0,49.0
2017-06-30,104.0,50.0,12.0
2017-07-07,197.0,93.0,43.0
2017-07-14,181.0,-16.0,-109.0
2017-07-21,160.0,-21.0,-5.0
2017-07-28,162.0,2.0,23.0
2017-08-04,273.0,111.0,109.0
2017-08-11,359.0,86.0,-25.0
2017-08-18,305.0,-54.0,-140.0
2017-08-25,323.0,18.0,72.0
2017-09-01,432.0,109.0,91.0
2017-09-08,154.0,-278.0,-387.0
2017-09-15,222.0,68.0,346.0
2017-09-22,103.0,-119.0,-187.0
2017-09-29,33.0,-70.0,49.0
2017-10-13,84.0,51.0,121.0
2017-10-20,98.5,14.5,-36.5
2017-10-27,101.5,3.0,-11.5
2017-11-03,69.0,-32.5,-35.5
2017-11-10,118.0,49.0,81.5
2017-11-17,32.0,-86.0,-135.0
2017-11-24,29.5,-2.5,83.5
2017-12-01,-116.5,-146.0,-143.5
2017-12-08,48.5,165.0,311.0
2017-12-15,-332.0,-380.5,-545.5
2017-12-22,-474.0,-142.0,238.5
2017-12-29,-311.0,163.0,305.0
2018-01-05,-317.0,-6.0,-169.0
2018-01-12,-423.0,-106.0,-100.0
2018-01-19,-303.0,120.0,226.0
2018-01-26,-342.0,-39.0,-159.0
2018-02-02,-228.0,114.0,153.0
2018-02-09,-84.0,144.0,30.0
2018-02-16,-133.0,-49.0,-193.0
2018-02-23,-90.0,43.0,92.0
2018-03-02,146.0,236.0,193.0
2018-03-09,201.0,55.0,-181.0
2018-03-16,198.0,-3.0,-58.0
2018-03-23,93.0,-105.0,-102.0
2018-03-30,-31.0,-124.0,-19.0
2018-04-06,-26.0,5.0,129.0
2018-04-13,52.0,78.0,73.0
2018-04-20,-78.0,-130.0,-208.0
2018-04-27,-178.0,-100.0,30.0
2018-05-04,-141.0,37.0,137.0
2018-05-11,-103.0,38.0,1.0
2018-05-18,-104.0,-1.0,-39.0
2018-05-25,-179.0,-75.0,-74.0
2018-06-01,-119.0,60.0,135.0
2018-06-08,-30.0,89.0,29.0
