date,dom_basis,dom_basis_1st,dom_basis_2nd,basis_factor,basis_factor_zscore,basis_factor_zscore_近三周mean
2019-11-01,-17.0,-70.0,-144.0,-84.8,-0.8813461387684186,
2019-11-08,-24.0,-7.0,63.0,7.000000000000001,0.07202423718418188,
2019-11-15,-94.0,-70.0,-63.0,-68.6,-0.7131043077179596,
2019-11-22,-102.0,-8.0,62.0,6.0,0.061638938971190584,-0.5074754031007321
2019-11-29,-110.5,-8.5,-0.5,-6.9,-0.07233140797639709,-0.1931470438541957
2019-12-06,-121.0,-10.5,-2.0,-8.8,-0.09206347458108055,-0.24126559224105537
2019-12-13,6.0,127.0,137.5,129.10000000000002,1.3400691489904188,-0.034251981195428986
2019-12-20,67.0,61.0,-66.0,35.6,0.36904376607573286,0.3918914221443138
2019-12-27,151.0,84.0,23.0,71.8,0.7449915613860175,0.5390164801616905
2020-01-03,183.0,32.0,-52.0,15.2,0.15718368253071044,0.8180348254840565
2020-01-10,240.5,57.5,25.5,51.1,0.5300158883770979,0.42373966999748697
2020-01-17,183.5,-57.0,-114.5,-68.5,-0.7120657778966606,0.47739704409794204
2020-01-24,111.0,-72.5,-15.5,-61.1,-0.635214571120525,-0.008288735662950667
2020-02-07,-71.0,-182.0,-109.5,-167.5,-1.7402103009827985,-0.27242148688002915
2020-02-14,114.0,185.0,367.0,221.4,2.298632174049515,-1.0291635499999947
2020-02-21,142.5,28.5,-156.5,-8.5,-0.08894788511718316,-0.02559756601793624
2020-02-28,118.5,-24.0,-52.5,-29.700000000000003,-0.3091162072325986,0.15649132931651114
2020-03-06,67.0,-51.5,-27.5,-46.7,-0.4856662768534505,0.6335226938999111
2020-03-13,75.5,8.5,60.0,18.8,0.19457075609747912,-0.29457678973441065
2020-03-20,62.5,-13.0,-21.5,-14.7,-0.15333673403772916,-0.20007057599618983
2020-03-27,122.5,60.0,73.0,62.6,0.6494468178264977,-0.14814408493123338
2020-04-03,42.0,-80.5,-140.5,-92.5,-0.9613129350084516,0.23022694662874935
2020-04-10,246.5,204.5,285.0,220.6,2.2903239354791216,-0.15506761707322755
2020-04-17,87.0,-159.5,-364.0,-200.4,-2.081886612190212,0.6594859394323894
2020-04-24,137.0,50.0,209.5,81.9,0.8498830733372297,-0.25095853723984723
2020-05-01,141.0,4.0,-46.0,-6.000000000000001,-0.06298463958470493,0.3527734655420465
2020-05-08,105.0,-36.0,-40.0,-36.8,-0.3828518245448366,-0.4316627261458957
2020-05-15,67.5,-37.5,-1.5,-30.3,-0.3153473861603933,0.1346822030692295
2020-05-22,109.5,42.0,79.5,49.5,0.5133994112363118,-0.2537279500966448
2020-05-29,95.0,-14.5,-56.5,-22.9,-0.23849617938425774,-0.06159993315630589
2020-06-05,152.0,57.0,71.5,59.900000000000006,0.6214065126514213,-0.013481384769446242
2020-06-12,146.5,-5.5,-62.5,-16.9,-0.17618439010630998,0.29876991483449195
2020-06-19,137.0,-9.5,-4.0,-8.4,-0.08790935529588403,0.0689086477202847
2020-06-26,143.5,6.5,16.0,8.4,0.08656365468236968,0.1191042557497426
2020-07-03,187.0,43.5,37.0,42.2,0.4375867342814754,-0.05917669690660795
2020-07-10,180.0,-7.0,-50.5,-15.700000000000005,-0.1637220322507205,0.1454136778893205
