date,dom_basis,dom_basis_1st,dom_basis_2nd
2017-01-06,-178.75,,
2017-01-13,-92.11999999999989,86.63000000000011,
2017-01-20,-18.5,73.61999999999989,-13.010000000000218
2017-01-27,-43.88000000000011,-25.38000000000011,-99.0
2017-02-03,-81.88000000000011,-38.0,-12.61999999999989
2017-02-10,33.61999999999989,115.5,153.5
2017-02-17,21.61999999999989,-12.0,-127.5
2017-02-24,-12.38000000000011,-34.0,-22.0
2017-03-03,-20.38000000000011,-8.0,26.0
2017-03-10,-0.75,19.63000000000011,27.63000000000011
2017-03-17,-79.38000000000011,-78.63000000000011,-98.26000000000022
2017-03-24,-37.88000000000011,41.5,120.13000000000011
2017-03-31,-111.88000000000011,-74.0,-115.5
2017-04-07,-144.75,-32.86999999999989,41.13000000000011
2017-04-14,-55.0,89.75,122.61999999999989
2017-04-21,-22.88000000000011,32.11999999999989,-57.63000000000011
2017-04-28,-8.5,14.38000000000011,-17.73999999999978
2017-05-05,-4.880000000000109,3.619999999999891,-10.760000000000218
2017-05-12,-53.38000000000011,-48.5,-52.11999999999989
2017-05-19,-103.88000000000011,-50.5,-2.0
2017-05-26,-126.88000000000011,-23.0,27.5
2017-06-02,-252.3800000000001,-125.5,-102.5
2017-06-09,-219.25,33.13000000000011,158.6300000000001
2017-06-16,-207.0,12.25,-20.88000000000011
2017-06-23,-186.25,20.75,8.5
2017-06-30,-214.1199999999999,-27.86999999999989,-48.61999999999989
2017-07-07,-102.25,111.86999999999989,139.73999999999978
2017-07-14,-49.0,53.25,-58.61999999999989
2017-07-21,-103.88000000000011,-54.88000000000011,-108.13000000000011
2017-07-28,-108.0,-4.119999999999891,50.76000000000022
2017-08-04,-98.0,10.0,14.11999999999989
2017-08-11,-171.32999999999993,-73.32999999999993,-83.32999999999993
2017-08-18,-234.0,-62.67000000000007,10.659999999999854
2017-08-25,-224.32999999999993,9.670000000000073,72.34000000000015
2017-09-01,-216.0,8.329999999999927,-1.3400000000001455
2017-09-08,-228.0,-12.0,-20.329999999999927
2017-09-15,-234.67000000000007,-6.670000000000073,5.329999999999927
2017-09-22,-152.0,82.67000000000007,89.34000000000015
2017-09-29,-143.67000000000007,8.329999999999927,-74.34000000000015
2017-10-13,-119.32999999999993,24.340000000000146,16.01000000000022
2017-10-20,-145.67000000000007,-26.340000000000146,-50.68000000000029
2017-10-27,-156.0,-10.329999999999927,16.01000000000022
