date,zscore,近五周mean,zscore_minus_近五周mean,wh_factor
2019-11-01,-1.2275742718476237,,,
2019-11-08,-1.2072688410132604,,,
2019-11-15,-1.192007045341021,,,
2019-11-22,-1.1982985002750888,,,
2019-11-29,-1.3156197368750082,,,
2019-12-06,-1.5239096526533704,-1.2281536790704002,-0.2957559735829702,-1.0326481810252104
2019-12-13,-1.5239096526533704,-1.2874207552315498,-0.2364888974218206,-1.0089413505607505
2019-12-20,-1.5246251856694504,-1.3507489175595715,-0.1738762681098786,-0.9843256186456216
2019-12-27,-1.5202621794738416,-1.4172725456252575,-0.102989633848584,-0.9533531612237385
2020-01-03,-1.3453667131166689,-1.4816652814650082,0.1362985683483393,-0.7527006005306657
2020-01-10,-1.107041862687736,-1.4876146767133405,0.3805728140256046,-0.5119959920023998
2020-01-17,-1.0636735811033848,-1.4042411187202135,0.3405675376168287,-0.5019771336152994
2020-01-24,-1.1403665040097957,-1.3121939044102162,0.1718274004004205,-0.6154889422457092
2020-02-07,-1.044301833594882,-1.2353421680782857,0.1910403344834035,-0.5501649663635677
2020-02-14,-1.044301833594882,-1.1401500989024935,0.0958482653076115,-0.5882417940338845
2020-02-21,-1.044301833594882,-1.079937122998136,0.0356352894032541,-0.6123269843956275
2020-02-28,-1.0335339343041194,-1.0673891171795653,0.0338551828754458,-0.6065782874322934
2020-03-06,-1.023446663979872,-1.0613611878197122,0.0379145238398401,-0.5989021888519872
2020-03-13,-1.023446663979872,-1.0379772198137274,0.0145305558338553,-0.6082557760543811
2020-03-20,-1.0258288653626744,-1.0338061858907257,0.0079773205280511,-0.6123063910063842
2020-03-27,-1.026771274700926,-1.030111592244284,0.0033403175433581,-0.6147266378032125
2020-04-03,-1.0251482363961597,-1.0266054804654927,0.0014572440693332,-0.6145060442099626
2020-04-10,-1.1250436262508177,-1.024928340883901,-0.1001152853669167,-0.7150722898972574
2020-04-17,-1.017748577888407,-1.0452477333380898,0.0274991554496828,-0.599649484553171
2020-04-24,-1.0206892440642474,-1.044108116119797,0.0234188720555494,-0.6030459976163286
2020-05-01,-1.122129138112151,-1.0430801918601114,-0.0790489462520396,-0.7048970613681065
2020-05-08,-1.221090844640949,-1.0621517645423564,-0.1589390800985926,-0.7962301388240064
2020-05-15,-0.9229055492082638,-1.1013402861913142,0.1784347369830503,-0.4823694347317382
2020-05-22,-0.9368933470713856,-1.0609126707828036,0.1240193237114181,-0.5125282787582641
2020-05-29,-0.9939091120356008,-1.0447416246193997,0.0508325125837987,-0.5760124621878411
2020-06-05,-1.0089789354352334,-1.0393855982136702,0.0304066627784367,-0.5932246961497654
2020-06-12,-1.0167363604510258,-1.0167555576782863,1.9197227260736582e-05,-0.6100341373797112
2020-06-19,-1.0255409069537642,-0.975884660840302,-0.0496562461134623,-0.6351870426176434
2020-06-26,-1.2274782857113202,-0.996411732389402,-0.2310665533219182,-0.8289135927555593
2020-07-03,-1.03740828380582,-1.0545287201173887,0.0171204363115686,-0.6155967957588645
2020-07-10,-1.0435164924796725,-1.0632285544714328,0.0197120619917603,-0.6182250706910993
2020-07-17,-1.0544240079686942,-1.0701360658803205,0.0157120579116263,-0.626369581616566
2020-07-24,-1.0587695621395206,-1.0776735953838543,0.0189040332443337,-0.6277001239859787
2020-07-31,-1.0601919021592892,-1.0843193264210056,0.0241274242617164,-0.6264641715908869
2020-08-07,-1.057059263710842,-1.0508620497105994,-0.0061972140002426,-0.6367144438266022
2020-08-14,-1.069982488062235,-1.0547922456916037,-0.0151902423706313,-0.6480655897855935
2020-08-21,-1.1067364522540433,-1.060085444808116,-0.0466510074459272,-0.6827022743307969
2020-08-28,-1.114947629914179,-1.070547933665186,-0.0443996962489929,-0.6867284564481045
2020-09-04,-1.1364310724213564,-1.0817835472201176,-0.0546475252012388,-0.7037176535333094
2020-09-11,-1.1719982989279591,-1.0970313812725312,-0.0749669176554279,-0.7331857464189466
2020-09-18,-1.216483510098386,-1.1200191883159545,-0.0964643217824314,-0.7684758347720042
2020-09-25,-1.247443402062426,-1.1493193927231846,-0.0981240093392412,-0.7877156449731522
2020-10-02,-1.3691014668207804,-1.177460782684861,-0.191640684135919,-0.8981171537468358
2020-10-09,-1.4730544524373548,-1.2282915500661815,-0.2447629023711732,-0.9817378324108821
2020-10-16,-1.268996652668733,-1.295616226069381,0.0266195734006482,-0.7507501622409805
2020-10-23,-1.2642846059774755,-1.315015896817536,0.0507312908400603,-0.7382782472504611
2020-10-30,-1.2630629642427051,-1.3245761159933538,0.0615131517506486,-0.7332325178453636
2020-11-06,-1.2596423673853478,-1.3277000284294096,0.0680576610440617,-0.728562356013584
2020-11-13,-1.2713963060763178,-1.3058082085423233,0.0344119024660054,-0.7490730226593886
2020-11-20,-1.2730106183686931,-1.265476579270116,-0.0075340390985771,-0.7668199866606467
2020-11-27,-1.3218850137719025,-1.2662793724101078,-0.0556056413617946,-0.8153732648078593
2020-12-04,-1.5124000423093549,-1.2777994539689934,-0.2346005883403612,-1.0012802607217575
2020-12-11,-1.511056236401107,-1.327666869582323,-0.183389366818784,-0.9799894885681779
2020-12-18,-1.511091140450672,-1.377949643385475,-0.1331414970651969,-0.9599112830964819
2020-12-25,-1.5111434965250192,-1.425888610260346,-0.0852548862646733,-0.9407880524208808
2021-01-01,-1.4265797104417304,-1.4735151858916111,0.0469354754498807,-0.8371736360850859
2021-01-08,-1.2112828067132204,-1.4944541252255767,0.2831713185123563,-0.6135011566229897
2021-01-15,-1.013455379791928,-1.43423067810635,0.4207752983144217,-0.43976310854938805
2021-01-22,-1.013560091940623,-1.3347105067845142,0.3211504148438915,-0.47967588922681714
2021-01-29,-0.9924431419538764,-1.2352042970825043,0.242761155128628,-0.4983614231208746
2021-02-05,-0.9940836322834252,-1.1314642261682757,0.1373805938848503,-0.541497941816115
2021-02-12,-1.074991219174794,-1.0449650105366146,-0.0300262086381792,-0.657005214960148
2021-02-19,-1.1927225783571007,-1.0177066930289291,-0.1750158853281715,-0.7856399011455291
2021-02-26,-0.6908896057381813,-1.0535601327419637,0.3626705270037824,-0.2694655526413958
2021-03-05,-0.6039174402349162,-0.9890260355014756,0.3851085952665593,-0.20830702603432602
2021-03-12,-0.4998859205068209,-0.9113208951576832,0.4114349746508624,-0.13535756244374755
2021-03-19,-0.4741092799031643,-0.8124813528023627,0.3383720728991983,-0.14911673878221926
2021-03-26,-0.4341092391018232,-0.6923049649480367,0.2581957258462135,-0.1571872531226085
2021-04-02,-0.3309241425756761,-0.5405822970969812,0.2096581545213051,-0.11469122373688359
2021-04-09,-0.508952247381296,-0.4685892044644802,-0.0403630429168156,-0.3215165655955038
2021-04-16,-0.1842922303536568,-0.449596165893756,0.2653039355400992,-0.0044537639961543946
2021-04-23,-0.1530531059930981,-0.3864774278631233,0.2334243218700251,0.00153786515215118
2021-04-30,-0.0929832366919567,-0.32226619308111,0.2292829563891532,0.03592324054048727
2021-05-07,-0.9293366203405912,-0.2540409925991368,-0.6752956277414544,-0.8277202233009364
2021-05-14,0.1005771701700302,-0.3737234881521198,0.47430065832215,0.25006656543087813
2021-05-21,0.1802194852646725,-0.2518176046418545,0.4320370899065271,0.2809465271214143
2021-05-28,0.1697657224199939,-0.1789152615181886,0.3486809839381826,0.2413318270272694
2021-06-04,0.155245637801008,-0.1143514958355702,0.2695971336365782,0.20098623613523608
2021-06-11,0.1259960442656469,-0.0647057209369772,0.1907017652026241,0.15187833264043776
2021-06-18,-0.2247722018365149,0.1463608119842703,-0.3711330138207853,-0.28331652663022305
2021-06-25,0.0407254511786692,0.0812909375829612,-0.040565486404292,0.008209076145484717
2021-07-02,-0.0281751426623842,0.0533921307657606,-0.0815672734281448,-0.04953199496868843
2021-07-09,-0.0127126487051468,0.0138039577492849,-0.0265166064544317,-0.018234231804860758
2021-07-16,-0.0085241627573623,-0.0197876995519459,0.0112635367945835,-0.0006090829365839791
2021-07-23,-0.0228173710541766,-0.0466917409565478,0.0238743699023711,-0.004140674671557518
2021-07-30,-0.0230093433267834,-0.0063007748000801,-0.0167085685267033,-0.02048903340675136
2021-08-06,-0.0477999445302324,-0.0190477337011707,-0.0287522108290617,-0.04018085104976412
2021-08-13,-0.055443931384939,-0.0229726940747403,-0.0324712373101986,-0.04625485375504284
2021-08-20,-0.0894753797106873,-0.0315189506106988,-0.0579564290999885,-0.07686779946640779
2021-08-27,-0.2067006301743034,-0.0477091940013637,-0.1589914361729397,-0.18761695257375793
2021-09-03,-0.2158454911602994,-0.0844858458253891,-0.1313596453349103,-0.18205115283014375
2021-09-10,-0.2374598238533452,-0.1230530753920923,-0.1144067484612529,-0.18823859369650828
2021-09-17,-0.2840916340720116,-0.1609850512567149,-0.1231065828152967,-0.21969761356932563
2021-09-24,-0.8058809970296457,-0.2067145917941294,-0.5991664052355162,-0.7231951603119939
2021-10-01,-0.6253485266677464,-0.349995715257921,-0.2753528114098253,-0.485350240564578
2021-10-08,-1.3045464271505534,-0.4337252945566097,-0.8708211325939437,-1.1310563093279096
2021-10-15,-0.4803832828124497,-0.6514654817546605,0.1710821989422107,-0.2197970901105855
2021-10-22,-0.5682193235424453,-0.7000501735464814,0.131830850004036,-0.2881992541238528
2021-10-29,-0.6641356517467083,-0.7568757114405681,0.0927400596938597,-0.3613853671704811
2021-11-05,-0.6975737312298538,-0.7285266423839806,0.0309529111541267,-0.4061630742762616
2021-11-12,-0.7654533816211349,-0.7429716832964021,-0.0224816983247327,-0.46826470830257394
2021-11-19,-0.8181148664021326,-0.6351530741905184,-0.1829617922116142,-0.5640536367259252
