date,dom_basis,dom_basis_1st,dom_basis_2nd
2017-01-06,54.32999999999993,,
2017-01-13,58.0,3.6700000000000728,
2017-01-20,163.67000000000007,105.67000000000007,102.0
2017-01-27,112.67000000000007,-51.0,-156.67000000000007
2017-02-03,93.67000000000007,-19.0,32.0
2017-02-10,108.67000000000007,15.0,34.0
2017-02-17,106.0,-2.6700000000000728,-17.670000000000073
2017-02-24,29.670000000000073,-76.32999999999993,-73.65999999999985
2017-03-03,93.32999999999993,63.659999999999854,139.98999999999978
2017-03-10,69.67000000000007,-23.659999999999854,-87.31999999999971
2017-03-17,5.0,-64.67000000000007,-41.01000000000022
2017-03-24,-52.0,-57.0,7.670000000000073
2017-03-31,-113.67000000000007,-61.67000000000007,-4.670000000000073
2017-04-07,-143.32999999999993,-29.659999999999854,32.01000000000022
2017-04-14,-23.329999999999927,120.0,149.65999999999985
2017-04-21,25.0,48.32999999999993,-71.67000000000007
2017-04-28,-80.67000000000007,-105.67000000000007,-154.0
2017-05-05,-17.670000000000073,63.0,168.67000000000007
2017-05-12,-81.67000000000007,-64.0,-127.0
2017-05-19,-10.670000000000073,71.0,135.0
2017-05-26,-57.0,-46.32999999999993,-117.32999999999993
2017-06-02,-116.0,-59.0,-12.670000000000073
2017-06-09,-1.0,115.0,174.0
2017-06-16,-43.0,-42.0,-157.0
2017-06-23,-134.0,-91.0,-49.0
2017-06-30,-106.0,28.0,119.0
2017-07-07,-227.0,-121.0,-149.0
2017-07-14,-254.0,-27.0,94.0
2017-07-21,-216.0,38.0,65.0
2017-07-28,-252.32999999999993,-36.32999999999993,-74.32999999999993
2017-08-04,-268.6700000000001,-16.340000000000146,19.98999999999978
2017-08-11,-193.0,75.67000000000007,92.01000000000022
2017-08-18,-89.0,104.0,28.329999999999927
2017-08-25,-23.0,66.0,-38.0
2017-09-01,5.0,28.0,-38.0
2017-09-08,-219.0,-224.0,-252.0
2017-09-15,-370.0,-151.0,73.0
2017-09-22,-343.0,27.0,178.0
2017-09-29,-374.0,-31.0,-58.0
2017-10-13,-253.0,121.0,152.0
2017-10-20,-257.0,-4.0,-125.0
2017-10-27,-131.0,126.0,130.0
2017-11-03,-166.0,-35.0,-161.0
2017-11-10,7.0,173.0,208.0
2017-11-17,-6.0,-13.0,-186.0
2017-11-24,-95.0,-89.0,-76.0
2017-12-01,-12.0,83.0,172.0
2017-12-08,54.0,66.0,-17.0
2017-12-15,60.0,6.0,-60.0
2017-12-22,-436.0,-496.0,-502.0
2017-12-29,-420.0,16.0,512.0
2018-01-05,-465.0,-45.0,-61.0
2018-01-12,-467.0,-2.0,43.0
2018-01-19,-429.0,38.0,40.0
2018-01-26,-448.0,-19.0,-57.0
2018-02-02,-475.0,-27.0,-8.0
2018-02-09,-494.0,-19.0,8.0
2018-02-16,-464.0,30.0,49.0
2018-02-23,-456.0,8.0,-22.0
2018-03-02,-296.0,160.0,152.0
2018-03-09,-378.0,-82.0,-242.0
2018-03-16,-350.0,28.0,110.0
2018-03-23,-311.0,39.0,11.0
2018-03-30,-360.0,-49.0,-88.0
2018-04-06,-306.0,54.0,103.0
2018-04-13,-283.0,23.0,-31.0
2018-04-20,-258.0,25.0,2.0
2018-04-27,-239.0,19.0,-6.0
2018-05-04,-302.0,-63.0,-82.0
2018-05-11,-253.0,49.0,112.0
2018-05-18,-171.0,82.0,33.0
2018-05-25,-120.0,51.0,-31.0
2018-06-01,-166.0,-46.0,-97.0
2018-06-08,-146.0,20.0,66.0
2018-06-15,-332.0,-186.0,-206.0
2018-06-22,-460.0,-128.0,58.0
2018-06-29,-408.0,52.0,180.0
2018-07-06,-453.0,-45.0,-97.0
2018-07-13,-607.0,-154.0,-109.0
2018-07-20,-564.0,43.0,197.0
2018-07-27,-376.0,188.0,145.0
2018-08-03,-345.0,31.0,-157.0
2018-08-10,-342.0,3.0,-28.0
2018-08-17,-335.0,7.0,4.0
2018-08-24,-384.0,-49.0,-56.0
2018-08-31,-365.0,19.0,68.0
2018-09-07,-487.0,-122.0,-141.0
2018-09-14,-475.0,12.0,134.0
2018-09-21,-479.0,-4.0,-16.0
2018-09-28,-417.0,62.0,66.0
2018-10-12,-293.0,124.0,62.0
2018-10-19,-288.0,5.0,-119.0
2018-10-26,-301.0,-13.0,-18.0
2018-11-02,-407.0,-106.0,-93.0
2018-11-09,-452.0,-45.0,61.0
2018-11-16,-538.0,-86.0,-41.0
2018-11-23,-584.0,-46.0,40.0
2018-11-30,-475.0,109.0,155.0
2018-12-07,-404.0,71.0,-38.0
2018-12-14,-395.0,9.0,-62.0
2018-12-21,-336.0,59.0,50.0
2018-12-28,-266.0,70.0,11.0
2019-01-04,-367.0,-101.0,-171.0
2019-01-11,-298.0,69.0,170.0
2019-01-18,-159.0,139.0,70.0
2019-01-25,-153.0,6.0,-133.0
2019-02-01,-208.0,-55.0,-61.0
2019-02-15,-75.0,133.0,188.0
2019-02-22,-127.0,-52.0,-185.0
2019-03-01,-126.0,1.0,53.0
2019-03-08,-190.0,-64.0,-65.0
2019-03-15,-224.67000000000007,-34.67000000000007,29.329999999999927
2019-03-22,-201.67000000000007,23.0,57.67000000000007
2019-03-29,-273.0,-71.32999999999993,-94.32999999999993
2019-04-05,-240.32999999999993,32.67000000000007,104.0
2019-04-12,-32.0,208.32999999999993,175.65999999999985
2019-04-19,73.32999999999993,105.32999999999993,-103.0
2019-04-26,-36.67000000000007,-110.0,-215.32999999999993
2019-05-03,-164.0,-127.32999999999993,-17.329999999999927
2019-05-10,-152.0,12.0,139.32999999999993
2019-05-17,-198.32999999999993,-46.32999999999993,-58.32999999999993
2019-05-24,-141.67000000000007,56.659999999999854,102.98999999999978
2019-05-31,-307.6700000000001,-166.0,-222.65999999999985
2019-06-07,-252.67000000000007,55.0,221.0
2019-06-14,-132.32999999999993,120.34000000000015,65.34000000000015
2019-06-21,-158.67000000000007,-26.340000000000146,-146.6800000000003
2019-06-28,-250.0,-91.32999999999993,-64.98999999999978
2019-07-05,23.329999999999927,273.3299999999999,364.65999999999985
