date,roll_yield,near_by,deferred
2017-01-03,0.0013172338301634008,RM705,RM709
2017-01-04,0.006500544255270942,RM705,RM709
2017-01-05,0.005219662038802987,RM705,RM709
2017-01-06,0.00916031246067103,RM705,RM709
2017-01-09,0.009184350055469468,RM705,RM709
2017-01-10,0.011808456094423585,RM705,RM709
2017-01-11,0.021959193846405777,RM705,RM709
2017-01-12,0.018126943367887758,RM705,RM709
2017-01-13,0.021451195497227963,RM705,RM709
2017-01-16,0.027329381546691858,RM705,RM709
2017-01-17,0.024742408290051345,RM705,RM709
2017-01-18,0.027104907173737633,RM705,RM709
2017-01-19,0.029364019098488462,RM705,RM709
2017-01-20,0.02228652428574241,RM705,RM709
2017-01-23,0.02104403099815362,RM705,RM709
2017-01-24,0.022185803658470647,RM705,RM709
2017-01-25,0.02014275296874938,RM705,RM709
2017-01-26,0.02621194124731039,RM705,RM709
2017-02-03,0.008744540857205836,RM705,RM709
2017-02-06,-0.0,RM705,RM709
2017-02-07,-0.006116210069544927,RM705,RM709
2017-02-08,-0.008411781998202895,RM705,RM709
2017-02-09,-0.009661844100126472,RM705,RM709
2017-02-10,-0.0059512021102958775,RM705,RM709
2017-02-13,-0.007174176396227116,RM705,RM709
2017-02-14,-0.010867389625692527,RM705,RM709
2017-02-15,-0.01093339942692789,RM705,RM709
2017-02-16,-0.015697359219277826,RM705,RM709
2017-02-17,-0.03437026137415794,RM705,RM709
2017-02-20,-0.0488212564436125,RM705,RM709
2017-02-21,-0.04705505677997105,RM705,RM709
2017-02-22,-0.053857015557731217,RM705,RM709
2017-02-23,-0.0610359437948468,RM705,RM709
2017-02-24,-0.04601126459461479,RM705,RM709
2017-02-27,-0.03340929558013726,RM705,RM709
2017-02-28,-0.0447398515521528,RM705,RM709
2017-03-01,-0.0429718826611815,RM705,RM709
2017-03-02,-0.03758384172768213,RM705,RM709
2017-03-03,-0.03651160686076534,RM705,RM709
2017-03-06,-0.020428678979685377,RM705,RM709
2017-03-07,-0.013277028309457577,RM705,RM709
2017-03-08,-0.020974792412165676,RM705,RM709
2017-03-09,-0.024681340364704672,RM705,RM709
2017-03-10,-0.012557573798034094,RM705,RM709
2017-03-13,-0.019975105008466162,RM705,RM709
2017-03-14,-0.024076158788633194,RM705,RM709
2017-03-15,-0.013787364981605802,RM705,RM709
2017-03-16,-0.025094249203171607,RM705,RM709
2017-03-17,-0.02897356133758926,RM705,RM709
2017-03-20,-0.018545288812335768,RM705,RM709
2017-03-21,-0.016212885022144307,RM705,RM709
2017-03-22,-0.021263378572546822,RM705,RM709
2017-03-23,-0.016613460987933707,RM705,RM709
2017-03-24,-0.012858999542055799,RM705,RM709
2017-03-27,-0.011555760061583167,RM705,RM709
2017-03-28,-0.005136987556537134,RM705,RM709
2017-03-29,-0.016571106505896875,RM705,RM709
2017-03-30,-0.002566296135963273,RM705,RM709
2017-03-31,-0.0025717961283550266,RM705,RM709
2017-04-05,0.006469702744653335,RM705,RM709
2017-04-06,0.03344803087454448,RM705,RM709
2017-04-07,0.048105039378128885,RM705,RM709
2017-04-10,0.1698065943451291,RM709,RM801
2017-04-11,0.1775352375204488,RM709,RM801
2017-04-12,0.19657685534039215,RM709,RM801
2017-04-13,0.22232391646116556,RM709,RM801
2017-04-14,0.22079222965783746,RM709,RM801
2017-04-17,0.21194344803091686,RM709,RM801
2017-04-18,0.2078697476918237,RM709,RM801
2017-04-19,0.2197807851178385,RM709,RM801
2017-04-20,0.2324566617748705,RM709,RM801
2017-04-21,0.23561591871062,RM709,RM801
2017-04-24,0.24866297941730325,RM709,RM801
2017-04-25,0.24246643243970029,RM709,RM801
2017-04-26,0.22011595168893322,RM709,RM801
2017-04-27,0.22251687352828484,RM709,RM801
2017-04-28,0.233986019721302,RM709,RM801
2017-05-02,0.2512508564466963,RM709,RM801
