date,var,var_name,symbol,spot_price,near_contract,near_contract_price,near_basis,near_basis_rate,dominant_contract,dominant_contract_price,dom_basis,dom_basis_rate,near_month,dominant_month
2017-01-03,RM,菜粕,RM,2498.75,RM701,2372.0,-126.75,-0.05072536268134065,RM705,2278.0,-220.75,-0.08834417208604306,1701,1705
2017-01-04,RM,菜粕,RM,2498.75,RM701,2350.0,-148.75,-0.059529764882441216,RM705,2310.0,-188.75,-0.07553776888444219,1701,1705
2017-01-05,RM,菜粕,RM,2498.75,RM701,2438.0,-60.75,-0.02431215607803905,RM705,2301.0,-197.75,-0.07913956978489245,1701,1705
2017-01-06,RM,菜粕,RM,2488.75,RM701,2468.0,-20.75,-0.008337518834756419,RM705,2296.0,-192.75,-0.07744851833249622,1701,1705
2017-01-09,RM,菜粕,RM,2485.62,RM701,2393.0,-92.61999999999989,-0.037262332939065446,RM705,2290.0,-195.6199999999999,-0.07870068634787297,1701,1705
2017-01-10,RM,菜粕,RM,2481.25,RM701,2400.0,-81.25,-0.032745591939546626,RM705,2291.0,-190.25,-0.07667506297229221,1701,1705
2017-01-11,RM,菜粕,RM,2478.12,RM701,2400.0,-78.11999999999989,-0.031523897147837876,RM705,2331.0,-147.1199999999999,-0.05936758510483753,1701,1705
2017-01-12,RM,菜粕,RM,2478.12,RM701,2409.0,-69.11999999999989,-0.027892111762142235,RM705,2324.0,-154.1199999999999,-0.062192307071489594,1701,1705
2017-01-13,RM,菜粕,RM,2478.12,RM701,2400.0,-78.11999999999989,-0.031523897147837876,RM705,2386.0,-92.11999999999989,-0.03717334108114212,1701,1705
2017-01-16,RM,菜粕,RM,2482.5,RM701,2300.0,-182.5,-0.07351460221550854,RM705,2426.0,-56.5,-0.02275931520644514,1701,1705
2017-01-17,RM,菜粕,RM,2482.5,RM703,2425.0,-57.5,-0.023162134944612278,RM705,2435.0,-47.5,-0.019133937562940573,1703,1705
2017-01-18,RM,菜粕,RM,2486.88,RM703,2431.0,-55.88000000000011,-0.022469922151450827,RM705,2446.0,-40.88000000000011,-0.01643826803062476,1703,1705
2017-01-19,RM,菜粕,RM,2486.88,RM703,2432.0,-54.88000000000011,-0.022067811876729126,RM705,2464.0,-22.88000000000011,-0.009200283085633476,1703,1705
2017-01-23,RM,菜粕,RM,2486.88,RM703,2425.0,-61.88000000000011,-0.024882583799781255,RM705,2432.0,-54.88000000000011,-0.022067811876729126,1703,1705
2017-01-24,RM,菜粕,RM,2486.88,RM703,2462.0,-24.88000000000011,-0.010004503635076878,RM705,2443.0,-43.88000000000011,-0.017644598854789972,1703,1705
2017-01-25,RM,菜粕,RM,2486.88,RM703,2419.0,-67.88000000000011,-0.027295245448111682,RM705,2391.0,-95.88000000000011,-0.03855433314032042,1703,1705
2017-02-03,RM,菜粕,RM,2486.88,RM703,2356.0,-130.8800000000001,-0.05262819275558128,RM705,2405.0,-81.88000000000011,-0.03292478929421605,1703,1705
2017-02-06,RM,菜粕,RM,2486.88,RM703,2433.0,-53.88000000000011,-0.021665701602007426,RM705,2452.0,-34.88000000000011,-0.014025606382294331,1703,1705
2017-02-07,RM,菜粕,RM,2484.38,RM703,2423.0,-61.38000000000011,-0.024706365370837036,RM705,2450.0,-34.38000000000011,-0.013838462715043631,1703,1705
2017-02-08,RM,菜粕,RM,2484.38,RM703,2444.0,-40.38000000000011,-0.016253552194108845,RM705,2493.0,8.61999999999989,0.003469678551590194,1703,1705
