date,var,仓库编号,仓库简称,类别,仓单数量,当日增减,有效预报,升贴水,提货点,产地
2017-01-03,RM,0607,中粮祥瑞,,0,0,,0,,
2017-01-03,RM,1001,靖江龙威,,0,0,,0,,
2017-01-03,RM,1002,南通粮油,,0,0,,0,,
2017-01-03,RM,1003,益海盐城,,0,0,,0,,
2017-01-03,RM,1004,益海安徽,,0,0,,0,,
2017-01-03,RM,1005,中粮巢湖,,0,0,,0,,
2017-01-03,RM,1006,中粮黄冈,,0,0,,0,,
2017-01-03,RM,1007,湖北宏凯,,0,0,,0,,
2017-01-03,RM,1008,中粮荆州,,0,0,,0,,
2017-01-03,RM,1010,中纺四川,,0,0,,-100,,
2017-01-03,RM,1012,中纺湛江,,0,0,,-50,,
2017-01-03,RM,1013,中粮钦州,,0,0,,-100,,
2017-01-03,RM,1014,厦门银祥,MAR,2000,1100,,0,,
2017-01-03,RM,小计,,,2000,1100,0,,,
2017-01-03,RM,1015,东莞富之源,,0,0,,0,,
2017-01-03,RM,1016,大海粮油,,0,0,,-100,,
2017-01-03,RM,1017,福州集佳,MAR,900,0,,0,,
2017-01-03,RM,小计,,,900,0,0,,,
2017-01-03,RM,1018,中纺福建,,0,0,,0,,
2017-01-03,RM,1019,枫叶粮油,,0,0,,-100,,
2017-01-03,RM,总计,,,2900,1100,0,,,
2017-01-04,RM,0607,中粮祥瑞,,0,0,,0,,
2017-01-04,RM,1001,靖江龙威,,0,0,,0,,
2017-01-04,RM,1002,南通粮油,,0,0,,0,,
2017-01-04,RM,1003,益海盐城,,0,0,,0,,
2017-01-04,RM,1004,益海安徽,,0,0,,0,,
2017-01-04,RM,1005,中粮巢湖,,0,0,,0,,
2017-01-04,RM,1006,中粮黄冈,,0,0,,0,,
2017-01-04,RM,1007,湖北宏凯,,0,0,,0,,
2017-01-04,RM,1008,中粮荆州,,0,0,,0,,
2017-01-04,RM,1010,中纺四川,,0,0,,-100,,
2017-01-04,RM,1012,中纺湛江,,0,0,,-50,,
2017-01-04,RM,1013,中粮钦州,,0,0,,-100,,
2017-01-04,RM,1014,厦门银祥,MAR,2000,0,,0,,
2017-01-04,RM,小计,,,2000,0,0,,,
2017-01-04,RM,1015,东莞富之源,,0,0,,0,,
2017-01-04,RM,1016,大海粮油,,0,0,,-100,,
2017-01-04,RM,1017,福州集佳,MAR,900,0,,0,,
2017-01-04,RM,小计,,,900,0,0,,,
2017-01-04,RM,1018,中纺福建,,0,0,,0,,
2017-01-04,RM,1019,枫叶粮油,,0,0,,-100,,
2017-01-04,RM,总计,,,2900,0,0,,,
2017-01-05,RM,0607,中粮祥瑞,,0,0,,0,,
2017-01-05,RM,1001,靖江龙威,,0,0,,0,,
2017-01-05,RM,1002,南通粮油,,0,0,,0,,
2017-01-05,RM,1003,益海盐城,,0,0,,0,,
2017-01-05,RM,1004,益海安徽,,0,0,,0,,
2017-01-05,RM,1005,中粮巢湖,,0,0,,0,,
