date,roll_yield,near_by,deferred
2017-01-03,0.12426393110620704,SR701,SR705
2017-01-04,0.11116387459625304,SR701,SR705
2017-01-05,0.0577149499060655,SR701,SR705
2017-01-06,0.07805105592233481,SR701,SR705
2017-01-09,0.0719791718373885,SR701,SR705
2017-01-10,0.059312878354687626,SR701,SR705
2017-01-11,0.01307191610686688,SR701,SR705
2017-01-12,-0.01614666782410803,SR705,SR709
2017-01-13,-0.016674022739302206,SR705,SR709
2017-01-16,-0.01619141848795544,SR705,SR709
2017-01-17,-0.0179628137972573,SR705,SR709
2017-01-18,-0.01785330764350218,SR705,SR709
2017-01-19,-0.009425886074775808,SR705,SR709
2017-01-20,-0.015656747627375484,SR705,SR709
2017-01-23,-0.010391120216997188,SR705,SR709
2017-01-24,-0.011625418207783927,SR705,SR709
2017-01-25,-0.012481188650665914,SR705,SR709
2017-01-26,-0.016828523092263337,SR705,SR709
2017-02-03,-0.016379351032704062,SR705,SR709
2017-02-06,-0.016327740103952555,SR705,SR709
2017-02-07,-0.017590325690997034,SR705,SR709
2017-02-08,-0.02494280423467924,SR705,SR709
2017-02-09,-0.030729548059769463,SR705,SR709
2017-02-10,-0.03153149752855916,SR705,SR709
2017-02-13,-0.030056069349448496,SR705,SR709
2017-02-14,-0.02849762361462841,SR705,SR709
2017-02-15,-0.034465586668161276,SR705,SR709
2017-02-16,-0.034465586668161276,SR705,SR709
2017-02-17,-0.03228182959492108,SR705,SR709
2017-02-20,-0.03186179654376503,SR705,SR709
2017-02-21,-0.0322677529442609,SR705,SR709
2017-02-22,-0.033481034516412246,SR705,SR709
2017-02-23,-0.03173252798287098,SR705,SR709
2017-02-24,-0.030327706818418794,SR705,SR709
2017-02-27,-0.03255163901485445,SR705,SR709
2017-02-28,-0.032246500560095794,SR705,SR709
2017-03-01,-0.028825378267401322,SR705,SR709
2017-03-02,-0.03231001977399592,SR705,SR709
2017-03-03,-0.03364521246042001,SR705,SR709
2017-03-06,-0.03853144821852353,SR705,SR709
2017-03-07,-0.037670227760907726,SR705,SR709
2017-03-08,-0.04165502668124566,SR705,SR709
2017-03-09,-0.0396132516157364,SR705,SR709
2017-03-10,-0.03925083554048309,SR705,SR709
2017-03-13,-0.04268498852708935,SR705,SR709
2017-03-14,-0.04182940005071121,SR705,SR709
2017-03-15,-0.045041295002774685,SR705,SR709
2017-03-16,-0.05074769827253037,SR705,SR709
2017-03-17,-0.0493765738424532,SR705,SR709
2017-03-20,-0.04464828597489407,SR705,SR709
2017-03-21,-0.04197121590621337,SR705,SR709
