date,roll_yield,near_by,deferred
2017-01-03,-0.04266252388643349,TA705,TA709
2017-01-04,-0.04203608598631802,TA705,TA709
2017-01-05,-0.04237988692540291,TA705,TA709
2017-01-06,-0.045615564534685765,TA705,TA709
2017-01-09,-0.04541345719589518,TA705,TA709
2017-01-10,-0.0457683295504542,TA705,TA709
2017-01-11,-0.05160237014536239,TA705,TA709
2017-01-12,-0.04807094840447131,TA705,TA709
2017-01-13,-0.050164745734272494,TA705,TA709
2017-01-16,-0.05664656316399004,TA705,TA709
2017-01-17,-0.054686166079413547,TA705,TA709
2017-01-18,-0.054886272963244734,TA705,TA709
2017-01-19,-0.053446241772171194,TA705,TA709
2017-01-20,-0.05613812679646249,TA705,TA709
2017-01-23,-0.048069392316445955,TA705,TA709
2017-01-24,-0.04916390754891929,TA705,TA709
2017-01-25,-0.0400005926083955,TA705,TA709
2017-01-26,-0.04422684521161029,TA705,TA709
2017-02-03,-0.04843910077092592,TA705,TA709
2017-02-06,-0.04223245709638704,TA705,TA709
2017-02-07,-0.04456810244777764,TA705,TA709
2017-02-08,-0.044399364861138775,TA705,TA709
2017-02-09,-0.042835483097949933,TA705,TA709
2017-02-10,-0.0414944374453854,TA705,TA709
2017-02-13,-0.04077534738695803,TA705,TA709
2017-02-14,-0.04070618761820639,TA705,TA709
2017-02-15,-0.03864283193869318,TA705,TA709
2017-02-16,-0.04522434458121175,TA705,TA709
2017-02-17,-0.04304535791538522,TA705,TA709
2017-02-20,-0.0450034603568564,TA705,TA709
2017-02-21,-0.04941411874279403,TA705,TA709
2017-02-22,-0.05788637758147152,TA705,TA709
2017-02-23,-0.05264235341643718,TA705,TA709
2017-02-24,-0.05528150753449676,TA705,TA709
2017-02-27,-0.05409374061598053,TA705,TA709
2017-02-28,-0.05657524006362335,TA705,TA709
2017-03-01,-0.05551759859312386,TA705,TA709
2017-03-02,-0.059831042902006,TA705,TA709
2017-03-03,-0.05587554070176591,TA705,TA709
2017-03-06,-0.06080208119963299,TA705,TA709
2017-03-07,-0.06497679881485934,TA705,TA709
2017-03-08,-0.06922116285369849,TA705,TA709
2017-03-09,-0.06938697930603804,TA705,TA709
2017-03-10,-0.08817340011577733,TA705,TA709
2017-03-13,-0.08931647500101014,TA705,TA709
2017-03-14,-0.09206393447665123,TA705,TA709
2017-03-15,-0.09188545348538886,TA705,TA709
2017-03-16,-0.09370339518522752,TA705,TA709
2017-03-17,-0.09249287501297367,TA705,TA709
2017-03-20,-0.0952829896401287,TA705,TA709
2017-03-21,-0.09657611146758185,TA705,TA709
2017-03-22,-0.08906904211703963,TA705,TA709
2017-03-23,-0.09288667681190067,TA705,TA709
2017-03-24,-0.09636551186489942,TA705,TA709
2017-03-27,-0.09973217573746329,TA705,TA709
2017-03-28,-0.09996958298664155,TA705,TA709
2017-03-29,-0.09910456819473153,TA705,TA709
2017-03-30,-0.09649432191210319,TA705,TA709
2017-03-31,-0.10137730492578662,TA705,TA709
2017-04-05,-0.09708818872283562,TA705,TA709
2017-04-06,-0.09293038660799528,TA705,TA709
2017-04-07,-0.084278539370182,TA705,TA709
2017-04-10,-0.09340655990052632,TA705,TA709
2017-04-11,-0.09517055007638121,TA705,TA709
2017-04-12,-0.09016907962708538,TA705,TA709
2017-04-13,-0.09494082910781237,TA705,TA709
2017-04-14,-0.09623920683068274,TA705,TA709
2017-04-17,-0.09607462656502043,TA705,TA709
2017-04-18,-0.09848620225758242,TA705,TA709
2017-04-19,-0.09631645862389424,TA705,TA709
