date,var,source_key,仓库编号,仓库简称,品牌,仓单数量,当日增减,有效预报,升贴水,仓单数量(完税),仓单数量(保税)
2017-01-03,TA,PTA,0314,江苏协丰,海伦石化,1408,0,,0,,
2017-01-03,TA,PTA,,,江阴汉邦,3960,770,,,,
2017-01-03,TA,PTA,,,逸盛大化,3542,539,,,,
2017-01-03,TA,PTA,小计,,,8910,1309,5934,,,
2017-01-03,TA,PTA,0501,浙江八三七,,0,0,,-20,,
2017-01-03,TA,PTA,0504,张家港华瑞,海伦石化,594,594,,0,,
2017-01-03,TA,PTA,,,恒力石化,1001,0,,,,
2017-01-03,TA,PTA,,,逸盛大化,3880,0,,,,
2017-01-03,TA,PTA,小计,,,5475,594,2596,,,
2017-01-03,TA,PTA,0505,杭州临港物流,逸盛石化,335,-396,,0,,
2017-01-03,TA,PTA,小计,,,335,-396,0,,,
2017-01-03,TA,PTA,0506,宁波高新,宁波三菱,1903,0,,-20,,
2017-01-03,TA,PTA,,,逸盛石化,89,0,,,,
2017-01-03,TA,PTA,小计,,,1992,0,198,,,
2017-01-03,TA,PTA,0508,平湖华瑞,逸盛大化,13291,0,,0,,
2017-01-03,TA,PTA,,,逸盛石化,693,0,,,,
2017-01-03,TA,PTA,小计,,,13984,0,1501,,,
2017-01-03,TA,PTA,0509,张家港港务,逸盛大化,2347,0,,0,,
2017-01-03,TA,PTA,小计,,,2347,0,0,,,
2017-01-03,TA,PTA,0513,嘉兴石化,,0,0,,0,,
2017-01-03,TA,PTA,0514,江苏恒科,恒力石化,23694,0,,0,,
2017-01-03,TA,PTA,小计,,,23694,0,0,,,
2017-01-03,TA,PTA,0515,海伦石化,海伦石化,6314,0,,0,,
2017-01-03,TA,PTA,小计,,,6314,0,0,,,
2017-01-03,TA,PTA,0516,张家港外服,海伦石化,1474,0,,0,,
2017-01-03,TA,PTA,,,恒力石化,8131,0,,,,
2017-01-03,TA,PTA,,,佳龙石化,1918,0,,,,
2017-01-03,TA,PTA,,,江阴汉邦,198,0,,,,
2017-01-03,TA,PTA,,,逸盛大化,16836,2937,,,,
2017-01-03,TA,PTA,小计,,,28557,2937,453,,,
2017-01-03,TA,PTA,0517,逸盛石化,逸盛石化,49640,0,,-20,,
2017-01-03,TA,PTA,小计,,,49640,0,0,,,
2017-01-03,TA,PTA,0518,浙江恒盛,,0,0,,0,,
2017-01-03,TA,PTA,0519,荣盛石化,,0,0,,0,,
2017-01-03,TA,PTA,0521,浙江特产,逸盛大化,2002,0,,0,,
2017-01-03,TA,PTA,小计,,,2002,0,0,,,
2017-01-03,TA,PTA,0523,苏州港口,恒力石化,2002,0,,0,,
2017-01-03,TA,PTA,小计,,,2002,0,0,,,
2017-01-03,TA,PTA,0524,恒力石化（厂库）,,0,0,,0,,
2017-01-03,TA,PTA,0525,逸盛大化（厂库）,逸盛大化,42131,3900,,0,,
2017-01-03,TA,PTA,小计,,,42131,3900,0,,,
2017-01-03,TA,PTA,0527,江苏国望,佳龙石化,2659,0,,0,,
2017-01-03,TA,PTA,,,逸盛大化,3313,0,,,,
2017-01-03,TA,PTA,小计,,,5972,0,890,,,
2017-01-03,TA,PTA,0528,恒逸高新,,0,0,,0,,
2017-01-03,TA,PTA,0529,江苏江海,,0,0,,0,,
2017-01-03,TA,PTA,0530,华润包装,江阴汉邦,3599,0,,0,,
2017-01-03,TA,PTA,,,逸盛大化,396,0,,,,
2017-01-03,TA,PTA,小计,,,3995,0,0,,,
2017-01-03,TA,PTA,0531,嘉兴海陆,逸盛大化,6828,0,,0,,
2017-01-03,TA,PTA,小计,,,6828,0,200,,,
2017-01-03,TA,PTA,总计,,,204178,8344,11772,,,
2017-01-04,TA,PTA,0314,江苏协丰,海伦石化,1848,440,,0,,
2017-01-04,TA,PTA,,,江阴汉邦,3960,0,,,,
2017-01-04,TA,PTA,,,逸盛大化,4004,462,,,,
2017-01-04,TA,PTA,小计,,,9812,902,5472,,,
2017-01-04,TA,PTA,0501,浙江八三七,,0,0,,-20,,
2017-01-04,TA,PTA,0504,张家港华瑞,海伦石化,594,0,,0,,
2017-01-04,TA,PTA,,,恒力石化,1001,0,,,,
2017-01-04,TA,PTA,,,逸盛大化,3880,0,,,,
2017-01-04,TA,PTA,小计,,,5475,0,2596,,,
2017-01-04,TA,PTA,0505,杭州临港物流,逸盛石化,82,-253,,0,,
2017-01-04,TA,PTA,小计,,,82,-253,0,,,
2017-01-04,TA,PTA,0506,宁波高新,宁波三菱,1903,0,,-20,,
2017-01-04,TA,PTA,,,逸盛石化,89,0,,,,
2017-01-04,TA,PTA,小计,,,1992,0,198,,,
2017-01-04,TA,PTA,0508,平湖华瑞,逸盛大化,13291,0,,0,,
2017-01-04,TA,PTA,,,逸盛石化,693,0,,,,
2017-01-04,TA,PTA,小计,,,13984,0,1501,,,
2017-01-04,TA,PTA,0509,张家港港务,逸盛大化,2347,0,,0,,
2017-01-04,TA,PTA,小计,,,2347,0,0,,,
2017-01-04,TA,PTA,0513,嘉兴石化,,0,0,,0,,
2017-01-04,TA,PTA,0514,江苏恒科,恒力石化,23694,0,,0,,
2017-01-04,TA,PTA,小计,,,23694,0,0,,,
2017-01-04,TA,PTA,0515,海伦石化,海伦石化,6314,0,,0,,
2017-01-04,TA,PTA,小计,,,6314,0,0,,,
2017-01-04,TA,PTA,0516,张家港外服,海伦石化,1694,220,,0,,
2017-01-04,TA,PTA,,,恒力石化,8131,0,,,,
2017-01-04,TA,PTA,,,佳龙石化,1918,0,,,,
2017-01-04,TA,PTA,,,江阴汉邦,198,0,,,,
2017-01-04,TA,PTA,,,逸盛大化,16836,0,,,,
2017-01-04,TA,PTA,小计,,,28777,220,673,,,
2017-01-04,TA,PTA,0517,逸盛石化,逸盛石化,49580,-60,,-20,,
2017-01-04,TA,PTA,小计,,,49580,-60,0,,,
2017-01-04,TA,PTA,0518,浙江恒盛,,0,0,,0,,
2017-01-04,TA,PTA,0519,荣盛石化,,0,0,,0,,
2017-01-04,TA,PTA,0521,浙江特产,逸盛大化,2002,0,,0,,
2017-01-04,TA,PTA,小计,,,2002,0,0,,,
2017-01-04,TA,PTA,0523,苏州港口,恒力石化,2002,0,,0,,
2017-01-04,TA,PTA,小计,,,2002,0,0,,,
2017-01-04,TA,PTA,0524,恒力石化（厂库）,,0,0,,0,,
2017-01-04,TA,PTA,0525,逸盛大化（厂库）,逸盛大化,42131,0,,0,,
2017-01-04,TA,PTA,小计,,,42131,0,0,,,
2017-01-04,TA,PTA,0527,江苏国望,佳龙石化,2659,0,,0,,
2017-01-04,TA,PTA,,,逸盛大化,3313,0,,,,
2017-01-04,TA,PTA,小计,,,5972,0,890,,,
2017-01-04,TA,PTA,0528,恒逸高新,,0,0,,0,,
2017-01-04,TA,PTA,0529,江苏江海,,0,0,,0,,
2017-01-04,TA,PTA,0530,华润包装,江阴汉邦,3599,0,,0,,
2017-01-04,TA,PTA,,,逸盛大化,396,0,,,,
2017-01-04,TA,PTA,小计,,,3995,0,0,,,
2017-01-04,TA,PTA,0531,嘉兴海陆,逸盛大化,6828,0,,0,,
2017-01-04,TA,PTA,小计,,,6828,0,200,,,
2017-01-04,TA,PTA,总计,,,204987,809,11530,,,
2017-01-05,TA,PTA,0314,江苏协丰,海伦石化,1848,0,,0,,
2017-01-05,TA,PTA,,,江阴汉邦,4620,660,,,,
2017-01-05,TA,PTA,,,逸盛大化,4004,0,,,,
2017-01-05,TA,PTA,小计,,,10472,660,4812,,,
2017-01-05,TA,PTA,0501,浙江八三七,,0,0,,-20,,
2017-01-05,TA,PTA,0504,张家港华瑞,海伦石化,594,0,,0,,
2017-01-05,TA,PTA,,,恒力石化,1001,0,,,,
2017-01-05,TA,PTA,,,逸盛大化,3880,0,,,,
2017-01-05,TA,PTA,小计,,,5475,0,2596,,,
2017-01-05,TA,PTA,0505,杭州临港物流,逸盛石化,82,0,,0,,
2017-01-05,TA,PTA,小计,,,82,0,0,,,
2017-01-05,TA,PTA,0506,宁波高新,宁波三菱,1903,0,,-20,,
2017-01-05,TA,PTA,,,逸盛石化,89,0,,,,
2017-01-05,TA,PTA,小计,,,1992,0,198,,,
2017-01-05,TA,PTA,0508,平湖华瑞,逸盛大化,12691,-600,,0,,
2017-01-05,TA,PTA,,,逸盛石化,693,0,,,,
2017-01-05,TA,PTA,小计,,,13384,-600,1501,,,
2017-01-05,TA,PTA,0509,张家港港务,逸盛大化,2347,0,,0,,
2017-01-05,TA,PTA,小计,,,2347,0,0,,,
2017-01-05,TA,PTA,0513,嘉兴石化,,0,0,,0,,
2017-01-05,TA,PTA,0514,江苏恒科,恒力石化,23694,0,,0,,
2017-01-05,TA,PTA,小计,,,23694,0,0,,,
2017-01-05,TA,PTA,0515,海伦石化,海伦石化,6314,0,,0,,
2017-01-05,TA,PTA,小计,,,6314,0,0,,,
2017-01-05,TA,PTA,0516,张家港外服,海伦石化,1694,0,,0,,
2017-01-05,TA,PTA,,,恒力石化,8131,0,,,,
2017-01-05,TA,PTA,,,佳龙石化,1918,0,,,,
2017-01-05,TA,PTA,,,江阴汉邦,198,0,,,,
2017-01-05,TA,PTA,,,逸盛大化,16836,0,,,,
2017-01-05,TA,PTA,小计,,,28777,0,673,,,
2017-01-05,TA,PTA,0517,逸盛石化,逸盛石化,49580,0,,-20,,
2017-01-05,TA,PTA,小计,,,49580,0,0,,,
2017-01-05,TA,PTA,0518,浙江恒盛,,0,0,,0,,
2017-01-05,TA,PTA,0519,荣盛石化,,0,0,,0,,
2017-01-05,TA,PTA,0521,浙江特产,逸盛大化,2002,0,,0,,
2017-01-05,TA,PTA,小计,,,2002,0,0,,,
2017-01-05,TA,PTA,0523,苏州港口,恒力石化,2002,0,,0,,
2017-01-05,TA,PTA,小计,,,2002,0,0,,,
2017-01-05,TA,PTA,0524,恒力石化（厂库）,,0,0,,0,,
2017-01-05,TA,PTA,0525,逸盛大化（厂库）,逸盛大化,42131,0,,0,,
2017-01-05,TA,PTA,小计,,,42131,0,0,,,
2017-01-05,TA,PTA,0527,江苏国望,佳龙石化,2659,0,,0,,
2017-01-05,TA,PTA,,,逸盛大化,3313,0,,,,
2017-01-05,TA,PTA,小计,,,5972,0,890,,,
2017-01-05,TA,PTA,0528,恒逸高新,,0,0,,0,,
2017-01-05,TA,PTA,0529,江苏江海,,0,0,,0,,
2017-01-05,TA,PTA,0530,华润包装,江阴汉邦,3599,0,,0,,
2017-01-05,TA,PTA,,,逸盛大化,396,0,,,,
2017-01-05,TA,PTA,小计,,,3995,0,0,,,
2017-01-05,TA,PTA,0531,嘉兴海陆,逸盛大化,6828,0,,0,,
2017-01-05,TA,PTA,小计,,,6828,0,200,,,
2017-01-05,TA,PTA,总计,,,205047,60,10870,,,
2017-01-06,TA,PTA,0314,江苏协丰,海伦石化,1848,0,,0,,
2017-01-06,TA,PTA,,,江阴汉邦,4620,0,,,,
2017-01-06,TA,PTA,,,逸盛大化,4004,0,,,,
2017-01-06,TA,PTA,小计,,,10472,0,4812,,,
2017-01-06,TA,PTA,0501,浙江八三七,,0,0,,-20,,
2017-01-06,TA,PTA,0504,张家港华瑞,海伦石化,594,0,,0,,
2017-01-06,TA,PTA,,,恒力石化,1001,0,,,,
2017-01-06,TA,PTA,,,逸盛大化,3880,0,,,,
2017-01-06,TA,PTA,小计,,,5475,0,3146,,,
2017-01-06,TA,PTA,0505,杭州临港物流,逸盛石化,2,-80,,0,,
2017-01-06,TA,PTA,小计,,,2,-80,0,,,
2017-01-06,TA,PTA,0506,宁波高新,宁波三菱,1903,0,,-20,,
2017-01-06,TA,PTA,,,逸盛石化,89,0,,,,
2017-01-06,TA,PTA,小计,,,1992,0,1298,,,
2017-01-06,TA,PTA,0508,平湖华瑞,逸盛大化,12691,0,,0,,
2017-01-06,TA,PTA,,,逸盛石化,693,0,,,,
2017-01-06,TA,PTA,小计,,,13384,0,1501,,,
2017-01-06,TA,PTA,0509,张家港港务,逸盛大化,2347,0,,0,,
2017-01-06,TA,PTA,小计,,,2347,0,0,,,
2017-01-06,TA,PTA,0513,嘉兴石化,,0,0,,0,,
2017-01-06,TA,PTA,0514,江苏恒科,恒力石化,23694,0,,0,,
2017-01-06,TA,PTA,小计,,,23694,0,0,,,
2017-01-06,TA,PTA,0515,海伦石化,海伦石化,6314,0,,0,,
2017-01-06,TA,PTA,小计,,,6314,0,0,,,
2017-01-06,TA,PTA,0516,张家港外服,海伦石化,1694,0,,0,,
2017-01-06,TA,PTA,,,恒力石化,8131,0,,,,
2017-01-06,TA,PTA,,,佳龙石化,1918,0,,,,
2017-01-06,TA,PTA,,,江阴汉邦,198,0,,,,
2017-01-06,TA,PTA,,,逸盛大化,16836,0,,,,
2017-01-06,TA,PTA,小计,,,28777,0,673,,,
2017-01-06,TA,PTA,0517,逸盛石化,逸盛石化,49470,-110,,-20,,
2017-01-06,TA,PTA,小计,,,49470,-110,0,,,
2017-01-06,TA,PTA,0518,浙江恒盛,,0,0,,0,,
2017-01-06,TA,PTA,0519,荣盛石化,,0,0,,0,,
2017-01-06,TA,PTA,0521,浙江特产,逸盛大化,2002,0,,0,,
2017-01-06,TA,PTA,小计,,,2002,0,0,,,
2017-01-06,TA,PTA,0523,苏州港口,恒力石化,2002,0,,0,,
2017-01-06,TA,PTA,小计,,,2002,0,0,,,
2017-01-06,TA,PTA,0524,恒力石化（厂库）,,0,0,,0,,
2017-01-06,TA,PTA,0525,逸盛大化（厂库）,逸盛大化,42131,0,,0,,
2017-01-06,TA,PTA,小计,,,42131,0,0,,,
2017-01-06,TA,PTA,0527,江苏国望,佳龙石化,2659,0,,0,,
2017-01-06,TA,PTA,,,逸盛大化,3313,0,,,,
2017-01-06,TA,PTA,小计,,,5972,0,890,,,
2017-01-06,TA,PTA,0528,恒逸高新,,0,0,,0,,
2017-01-06,TA,PTA,0529,江苏江海,,0,0,,0,,
2017-01-06,TA,PTA,0530,华润包装,江阴汉邦,3599,0,,0,,
2017-01-06,TA,PTA,,,逸盛大化,396,0,,,,
2017-01-06,TA,PTA,小计,,,3995,0,0,,,
2017-01-06,TA,PTA,0531,嘉兴海陆,逸盛大化,6828,0,,0,,
2017-01-06,TA,PTA,小计,,,6828,0,200,,,
2017-01-06,TA,PTA,总计,,,204857,-190,12520,,,
2017-01-09,TA,PTA,0314,江苏协丰,海伦石化,1848,0,,0,,
