date,LPR1Y
2017-12-31,4.3
2018-01-31,4.3
2018-02-28,4.3
2018-03-31,4.3
2018-04-30,4.3085
2018-05-31,4.31
2018-06-30,4.31
2018-07-31,4.31
2018-08-31,4.31
2018-09-30,4.31
2018-10-31,4.31
2018-11-30,4.31
2018-12-31,4.31
2019-01-31,4.31
2019-02-28,4.31
2019-03-31,4.31
2019-04-30,4.31
2019-05-31,4.31
2019-06-30,4.31
2019-07-31,4.31
2019-08-31,4.305384615384615
2019-09-30,4.2
2019-10-31,4.2
2019-11-30,4.15
2019-12-31,4.15
2020-01-31,4.15
2020-02-29,4.05
2020-03-31,4.05
2020-04-30,3.85
2020-05-31,3.85
2020-06-30,3.85
