date,今值
2017-12-31,17.7
2018-01-31,4.5
2018-02-28,36.9
2018-03-31,6.3
2018-04-30,14.4
2018-05-31,21.5
2018-06-30,26.0
2018-07-31,14.1
2018-08-31,27.3
2018-09-30,20.0
2018-10-31,14.3
2018-11-30,21.4
2018-12-31,3.0
2019-01-31,-7.6
2019-02-28,-1.5
2019-03-31,-5.2
2019-04-30,-7.6
2019-05-31,4.0
2019-06-30,-8.5
2019-07-31,-7.3
2019-08-31,-5.6
2019-09-30,-5.6
2019-10-31,-8.5
2019-11-30,-6.4
2019-12-31,0.3
2020-01-31,16.3
2020-02-29,-1.5
2020-03-31,-4.0
2020-04-30,-0.95
2020-05-31,-14.2
2020-06-30,-16.7
