date,最新值,涨跌幅
2017-12-31,56.6,-3.41296928
2018-01-31,54.2,-4.24028269
2018-02-28,50.0,-7.74907749
2018-03-31,53.4,6.8
2018-04-30,54.6,2.24719101
2018-05-31,56.1,2.74725275
2018-06-30,54.9,-2.13903743
2018-07-31,50.9,-7.2859745
2018-08-31,50.7,-0.39292731
2018-09-30,53.1,4.73372781
2018-10-31,54.5,2.63653484
2018-11-30,55.9,2.56880734
2018-12-31,54.7,-2.14669052
2019-01-31,53.7,-1.82815356
2019-02-28,49.6,-7.63500931
2019-03-31,52.6,6.0483871
2019-04-30,53.5,1.71102662
2019-05-31,52.8,-1.30841121
2019-06-30,51.9,-1.70454545
2019-07-31,51.1,-1.54142582
2019-08-31,50.9,-0.39138943
2019-09-30,53.8,5.69744597
2019-10-31,54.2,0.74349442
2019-11-30,58.9,8.67158672
2019-12-31,58.6,-0.50933786
2020-01-31,49.9,-14.84641638
2020-02-29,26.2,-47.49498998
2020-03-31,51.5,96.5648855
2020-04-30,53.6,4.0776699
2020-05-31,54.8,2.23880597
2020-06-30,54.9,0.18248175
