date,今值
2017-12-31,55.0
2018-01-31,55.3
2018-02-28,54.4
2018-03-31,54.6
2018-04-30,54.8
2018-05-31,54.9
2018-06-30,55.0
2018-07-31,54.0
2018-08-31,54.2
2018-09-30,54.9
2018-10-31,53.9
2018-11-30,53.4
2018-12-31,53.8
2019-01-31,54.7
2019-02-28,54.3
2019-03-31,54.8
2019-04-30,54.3
2019-05-31,54.3
2019-06-30,54.2
2019-07-31,53.7
2019-08-31,53.8
2019-09-30,53.7
2019-10-31,52.8
2019-11-30,54.4
2019-12-31,53.5
2020-01-31,54.1
2020-02-29,29.6
2020-03-31,52.3
2020-04-30,53.2
2020-05-31,53.6
2020-06-30,54.4
