date,全社会用电量,第一产业用电量,第二产业用电量,第三产业用电量,城乡居民生活用电量合计
2017-12-31,630770000.0,11550000.0,444130000.0,88140000.0,86950000.0
2018-01-31,565520000.0,6150000.0,385750000.0,90780000.0,82850000.0
2018-02-28,105520000.0,1440000.0,69990000.0,17270000.0,16830000.0
2018-03-31,158780000.0,2190000.0,105830000.0,25040000.0,25720000.0
2018-04-30,210940000.0,2050000.0,142520000.0,33770000.0,32600000.0
2018-05-31,266280000.0,2630000.0,182950000.0,41810000.0,38890000.0
2018-06-30,322910000.0,3280000.0,223360000.0,50710000.0,45550000.0
2018-07-31,387750000.0,4000000.0,268830000.0,61010000.0,53910000.0
2018-08-31,452960000.0,4820000.0,310690000.0,72440000.0,65010000.0
2018-09-30,510610000.0,5550000.0,347140000.0,82590000.0,75340000.0
2018-10-31,,,,,
2018-11-30,621990000.0,6730000.0,426840000.0,98900000.0,89520000.0
2018-12-31,684490000.0,7280000.0,472350000.0,108010000.0,96850000.0
2019-01-31,592320000.0,6470000.0,398670000.0,99410000.0,87770000.0
2019-02-28,110630000.0,1100000.0,70590000.0,19940000.0,18990000.0
2019-03-31,167950000.0,1600000.0,109450000.0,28590000.0,28300000.0
2019-04-30,223290000.0,2170000.0,147920000.0,37280000.0,35910000.0
2019-05-31,279930000.0,2770000.0,188550000.0,45860000.0,42760000.0
2019-06-30,339800000.0,3450000.0,230910000.0,55520000.0,49930000.0
2019-07-31,406520000.0,4210000.0,277120000.0,66680000.0,58510000.0
2019-08-31,474220000.0,6050000.0,320830000.0,78870000.0,69470000.0
2019-09-30,534420000.0,5810000.0,358570000.0,89940000.0,80100000.0
2019-10-31,,,,,
2019-11-30,651440000.0,7080000.0,441270000.0,108420000.0,94680000.0
2019-12-31,722550000.0,7800000.0,493620000.0,118630000.0,102500000.0
2020-01-31,603060000.0,7100000.0,403400000.0,99580000.0,92980000.0
2020-02-29,102030000.0,1140000.0,62210000.0,19280000.0,19400000.0
2020-03-31,156980000.0,1670000.0,99710000.0,26280000.0,29320000.0
2020-04-30,212700000.0,2280000.0,138840000.0,34240000.0,37340000.0
2020-05-31,271970000.0,2970000.0,180980000.0,42960000.0,45060000.0
2020-06-30,335470000.0,3730000.0,225100000.0,53330000.0,53310000.0
