date,今值
2017-12-01,51.6
2018-01-01,51.3
2018-02-01,50.3
2018-03-01,51.5
2018-04-01,51.4
2018-05-01,51.9
2018-06-01,51.5
2018-07-01,51.2
2018-08-01,51.3
2018-09-01,50.8
2018-10-01,50.2
2018-11-01,50.0
2018-12-01,49.4
2019-01-01,49.5
2019-02-01,49.2
2019-03-01,50.5
2019-04-01,50.1
2019-05-01,49.4
2019-06-01,49.4
2019-07-01,49.7
2019-08-01,49.5
2019-09-01,49.8
2019-10-01,49.3
2019-11-01,50.2
2019-12-01,50.2
2020-01-01,50.0
2020-02-01,35.7
2020-03-01,52.0
2020-04-01,50.8
2020-05-01,50.6
2020-06-01,50.9
