date,当月
2017-12-01,34734.1
2018-01-01,
2018-02-01,
2018-03-01,29193.6
2018-04-01,28541.9
2018-05-01,30359.1
2018-06-01,30841.6
2018-07-01,30733.7
2018-08-01,31542.3
2018-09-01,32005.4
2018-10-01,35534.4
2018-11-01,35259.7
2018-12-01,35893.5
2019-01-01,
2019-02-01,
2019-03-01,31725.7
2019-04-01,30586.1
2019-05-01,32955.7
2019-06-01,33878.1
2019-07-01,33073.3
2019-08-01,33896.3
2019-09-01,34494.9
2019-10-01,38104.3
2019-11-01,38093.8
2019-12-01,38776.7
2020-01-01,
2020-02-01,
2020-03-01,26449.9
2020-04-01,28177.8
2020-05-01,31972.8
2020-06-01,33525.9
