date,社会融资规模增量,其中-人民币贷款,其中-委托贷款外币贷款,其中-委托贷款,其中-信托贷款,其中-未贴现银行承兑汇票,其中-企业债券,其中-非金融企业境内股票融资
2017-12-01,11481,5769,169,601,2245,676,337,817.0
2018-01-01,30793,26850,266,-714,455,1437,1222,500.0
2018-02-01,11894,10199,86,-750,660,106,644,379.0
2018-03-01,15848,11425,139,-1850,-357,-323,3536,404.0
2018-04-01,17761,10987,-26,-1481,-94,1454,4047,533.0
2018-05-01,9518,11396,-228,-1570,-904,-1741,-382,438.0
2018-06-01,14877,16787,-364,-1642,-1623,-3649,1349,258.0
2018-07-01,12254,12861,-773,-950,-1192,-2744,2195,175.0
2018-08-01,19391,13140,-344,-1207,-688,-779,3402,141.0
2018-09-01,21691,14341,-670,-1432,-909,-548,382,272.0
2018-10-01,7420,7141,-800,-949,-1273,-453,1476,176.0
2018-11-01,15239,12302,-787,-1310,-467,-127,3127,200.0
2018-12-01,15898,9281,-702,-2210,-509,1023,3757,130.0
2019-01-01,46791,35668,343,-699,345,3787,4829,289.0
2019-02-01,9665,7641,-105,-508,-37,-3103,875,119.0
2019-03-01,29602,19584,3,-1070,528,1365,3546,122.0
2019-04-01,16710,8733,-330,-1197,129,-357,3949,262.0
2019-05-01,17124,11855,191,-631,-52,-768,1033,259.0
2019-06-01,26243,16737,-4,-827,15,-1311,1439,153.0
2019-07-01,12872,8086,-221,-987,-676,-4562,2944,593.0
2019-08-01,21956,13045,-247,-513,-658,157,3384,256.0
2019-09-01,25142,17612,-440,-22,-672,-431,2431,289.0
2019-10-01,8680,5470,-10,-667,-624,-1053,2032,180.0
2019-11-01,19937,13633,-249,-959,-673,570,3330,524.0
2019-12-01,22013,10770,-205,-1316,-1092,951,3593,432.0
2020-01-01,50535,34924,513,-26,432,1403,3967,609.0
2020-02-01,8737,7202,252,-356,-540,-3961,3894,449.0
2020-03-01,51838,30390,1145,-588,-21,2818,9931,198.0
2020-04-01,31027,16239,910,-579,23,577,9237,315.0
2020-05-01,31866,15502,457,-273,-337,836,2879,353.0
2020-06-01,34681,19029,204,-484,-852,2190,3686,538.0
