date,今值
2017/12/31,31190
2018/1/31,31390
2018/2/28,31620
2018/3/31,31340
2018/4/30,31430
2018/5/31,31250
2018/6/30,31110
2018/7/31,31120
2018/8/31,31180
2018/9/30,31100
2018/10/31,30870
2018/11/30,30500
2018/12/31,30600
2019/1/31,30700
2019/2/28,30700
2019/3/31,30900
2019/4/30,30990
2019/5/31,30950
2019/6/30,31192
2019/7/31,31190
2019/8/31,31040
2019/9/30,31070
2019/10/31,30920
2019/11/30,31050
2019/12/31,30960
2020/1/31,31080
2020/2/29,30880
2020/3/31,31070
2020/4/30,30610
2020/5/31,30920
2020/6/30,31123
